Lab,Num,INF wc
TFN,8,1.000
TFN,4,1.000
Bujnicki,2,1.000
FARFAR2,5,1.000
TFN,2,1.000
TFN,3,1.000
TFN,7,1.000
Adamiak,3,1.000
Das,2,1.000
FARFAR2,1,1.000
TFN,10,1.000
TFN,1,1.000
RNAComposer,1,0.978
FARFAR2,8,1.000
TFN,5,1.000
Das,5,1.000
FARFAR2,3,1.000
FARFAR2,9,1.000
Das,6,1.000
FARFAR2,4,1.000
TFN,6,1.000
RNAComposer,2,0.978
Das,9,1.000
Bujnicki,1,1.000
Das,8,1.000
FARFAR2,7,1.000
TFN,9,1.000
Das,4,1.000
FARFAR2,2,1.000
Das,7,1.000
FARFAR2,6,1.000
Das,10,1.000
RNAComposer,3,0.978
Das,1,1.000
Das,3,1.000
FARFAR2,10,1.000
Chen,4,0.978
Chen,2,1.000
Bujnicki,4,1.000
Bujnicki,3,1.000
Chen,5,0.978
Xiao,1,0.860
Xiao,2,0.860
Xiao,3,0.860
Xiao,4,0.860
Xiao,5,0.860
Chen,8,1.000
Chen,7,1.000
Adamiak,2,1.000
Adamiak,4,1.000
Chen,1,1.000
Adamiak,1,1.000
Bujnicki,5,1.000
Chen,10,1.000
Chen,6,1.000
Chen,3,0.978
Chen,9,1.000
Ding,1,0.933
Ding,2,0.834
Ding,3,0.909
SimRNA,5,0.865
SimRNA,3,0.836
SimRNA,1,0.889
iFoldRNA,1,0.894
SimRNA,2,0.910
iFoldRNA,2,0.746
SimRNA,4,0.766
