Lab,Num,INF all
TFN,8,0.848
TFN,4,0.860
Bujnicki,2,0.901
FARFAR2,5,0.865
TFN,2,0.860
TFN,3,0.860
TFN,7,0.858
Adamiak,3,0.905
Das,2,0.870
FARFAR2,1,0.870
TFN,10,0.855
TFN,1,0.858
RNAComposer,1,0.867
FARFAR2,8,0.855
TFN,5,0.860
Das,5,0.860
FARFAR2,3,0.860
FARFAR2,9,0.860
Das,6,0.860
FARFAR2,4,0.860
TFN,6,0.860
RNAComposer,2,0.873
Das,9,0.868
Bujnicki,1,0.901
Das,8,0.860
FARFAR2,7,0.860
TFN,9,0.853
Das,4,0.860
FARFAR2,2,0.860
Das,7,0.860
FARFAR2,6,0.860
Das,10,0.858
RNAComposer,3,0.870
Das,1,0.863
Das,3,0.876
FARFAR2,10,0.876
Chen,4,0.887
Chen,2,0.894
Bujnicki,4,0.906
Bujnicki,3,0.911
Chen,5,0.897
Xiao,1,0.691
Xiao,2,0.691
Xiao,3,0.691
Xiao,4,0.691
Xiao,5,0.691
Chen,8,0.878
Chen,7,0.880
Adamiak,2,0.868
Adamiak,4,0.880
Chen,1,0.882
Adamiak,1,0.873
Bujnicki,5,0.916
Chen,10,0.887
Chen,6,0.870
Chen,3,0.880
Chen,9,0.863
Ding,1,0.687
Ding,2,0.629
Ding,3,0.677
SimRNA,5,0.717
SimRNA,3,0.654
SimRNA,1,0.719
iFoldRNA,1,0.701
SimRNA,2,0.710
iFoldRNA,2,0.682
SimRNA,4,0.654
