Lab,Num,INF stacking
TS229,3,0.700
TS239,3,0.700
TS439,3,0.700
TS229,2,0.674
TS239,2,0.674
TS439,2,0.674
TS287,1,0.625
TS287,5,0.648
TS287,3,0.667
TS235,5,0.576
TS227,2,0.553
TS287,2,0.610
TS119,1,0.662
TS147,4,0.609
TS119,5,0.651
TS434,5,0.592
TS245,1,0.497
TS385,1,0.497
TS392,3,0.569
TS232,4,0.643
TS147,2,0.581
TS185,4,0.632
TS444,5,0.657
TS131,5,0.682
TS494,5,0.677
TS494,4,0.672
TS081,3,0.645
TS392,5,0.596
TS229,1,0.613
TS239,1,0.613
TS439,1,0.613
TS392,1,0.569
TS392,2,0.626
TS227,3,0.613
TS232,5,0.696
TS257,1,0.578
TS147,5,0.519
TS392,4,0.578
TS238,2,0.633
TS081,2,0.603
TS232,3,0.661
TS119,2,0.601
TS434,3,0.512
TS081,5,0.657
TS081,1,0.619
TS185,3,0.591
TS232,1,0.655
TS232,2,0.641
TS257,2,0.614
TS257,3,0.603
TS470,4,0.605
TS489,4,0.605
TS177,3,0.571
TS444,1,0.692
TS434,1,0.563
TS131,1,0.714
TS177,1,0.592
TS470,5,0.657
TS489,5,0.657
TS035,5,0.657
TS081,4,0.624
TS257,4,0.578
TS235,4,0.687
TS494,2,0.661
TS494,3,0.651
TS131,3,0.657
TS444,3,0.677
TS076,5,0.620
TS185,1,0.602
TS470,2,0.615
TS489,2,0.615
TS434,4,0.537
TS235,2,0.612
TS245,4,0.528
TS131,2,0.692
TS229,4,0.613
TS239,4,0.613
TS439,4,0.613
TS444,2,0.672
TS185,2,0.530
TS257,5,0.623
TS494,1,0.651
TS434,2,0.560
TS119,3,0.662
TS035,4,0.612
TS076,4,0.613
TS119,4,0.672
TS076,2,0.626
TS131,4,0.662
TS076,1,0.632
TS444,4,0.678
TS287,4,0.697
TS035,1,0.638
TS035,2,0.638
TS035,3,0.638
TS470,1,0.594
TS489,1,0.594
TS235,1,0.619
TS177,2,0.503
TS229,5,0.616
TS239,5,0.616
TS439,5,0.616
TS245,5,0.552
TS029,1,0.357
TS248,4,0.177
TS147,1,0.477
TS245,2,0.534
TS054,1,0.616
TS054,2,0.616
TS054,3,0.616
TS054,4,0.616
TS125,1,0.616
TS125,2,0.616
TS125,3,0.616
TS125,4,0.616
TS125,5,0.616
TS054,5,0.616
TS029,3,0.504
TS097,1,0.342
TS227,1,0.493
TS076,3,0.634
TS235,3,0.596
TS029,2,0.454
TS470,3,0.601
TS489,3,0.601
TS248,5,0.180
TS248,3,0.216
TS248,1,0.199
TS248,2,0.204
TS245,3,0.488
TS185,5,0.600
TS227,4,0.603
