Lab,Num,P-value
TS229,3,0.00e+00
TS239,3,0.00e+00
TS439,3,0.00e+00
TS229,2,0.00e+00
TS239,2,0.00e+00
TS439,2,0.00e+00
TS287,1,1.13e-14
TS287,5,2.04e-13
TS287,3,3.02e-13
TS235,5,1.17e-12
TS227,2,2.28e-12
TS287,2,3.82e-12
TS119,1,2.14e-11
TS147,4,3.04e-11
TS119,5,4.76e-11
TS434,5,2.22e-10
TS245,1,1.06e-09
TS385,1,1.06e-09
TS392,3,1.39e-09
TS232,4,1.81e-09
TS147,2,2.75e-09
TS185,4,5.11e-09
TS444,5,5.91e-09
TS131,5,6.06e-09
TS494,5,6.82e-09
TS494,4,6.86e-09
TS081,3,9.37e-09
TS392,5,1.14e-08
TS229,1,1.49e-08
TS239,1,1.49e-08
TS439,1,1.49e-08
TS392,1,1.74e-08
TS392,2,2.82e-08
TS227,3,3.27e-08
TS232,5,3.76e-08
TS257,1,3.76e-08
TS147,5,6.50e-08
TS392,4,1.08e-07
TS238,2,1.31e-07
TS081,2,2.77e-07
TS232,3,3.23e-07
TS119,2,3.62e-07
TS434,3,3.85e-07
TS081,5,4.03e-07
TS081,1,5.95e-07
TS185,3,8.43e-07
TS232,1,8.45e-07
TS232,2,1.04e-06
TS257,2,1.69e-06
TS257,3,2.76e-06
TS470,4,3.43e-06
TS489,4,3.43e-06
TS177,3,8.21e-06
TS444,1,8.40e-06
TS434,1,9.08e-06
TS131,1,9.12e-06
TS177,1,1.09e-05
TS470,5,1.46e-05
TS489,5,1.46e-05
TS035,5,1.70e-05
TS081,4,4.55e-05
TS257,4,1.09e-04
TS235,4,1.18e-04
TS494,2,1.44e-04
TS494,3,1.54e-04
TS131,3,1.59e-04
TS444,3,1.64e-04
TS076,5,3.42e-04
TS185,1,3.88e-04
TS470,2,4.06e-04
TS489,2,4.06e-04
TS434,4,4.81e-04
TS235,2,4.83e-04
TS245,4,7.06e-04
TS131,2,9.82e-04
TS229,4,1.02e-03
TS239,4,1.02e-03
TS439,4,1.02e-03
TS444,2,1.05e-03
TS185,2,1.12e-03
TS257,5,1.16e-03
TS494,1,1.26e-03
TS434,2,1.29e-03
TS119,3,1.34e-03
TS035,4,1.42e-03
TS076,4,1.82e-03
TS119,4,2.03e-03
TS076,2,2.50e-03
TS131,4,2.71e-03
TS076,1,2.78e-03
TS444,4,2.81e-03
TS287,4,3.50e-03
TS035,1,5.08e-03
TS035,2,5.08e-03
TS035,3,5.08e-03
TS470,1,6.84e-03
TS489,1,6.84e-03
TS235,1,8.88e-03
TS177,2,1.64e-02
TS229,5,2.15e-02
TS239,5,2.15e-02
TS439,5,2.15e-02
TS245,5,2.33e-02
TS029,1,2.45e-02
TS248,4,2.50e-02
TS147,1,2.87e-02
TS245,2,4.26e-02
TS054,1,4.35e-02
TS054,2,4.35e-02
TS054,3,4.35e-02
TS054,4,4.35e-02
TS125,1,4.35e-02
TS125,2,4.35e-02
TS125,3,4.35e-02
TS125,4,4.35e-02
TS125,5,4.35e-02
TS054,5,4.43e-02
TS029,3,4.67e-02
TS097,1,5.03e-02
TS227,1,6.31e-02
TS076,3,6.56e-02
TS235,3,8.29e-02
TS029,2,9.00e-02
TS470,3,9.24e-02
TS489,3,9.24e-02
TS248,5,1.01e-01
TS248,3,1.21e-01
TS248,1,1.30e-01
TS248,2,1.46e-01
TS245,3,3.92e-01
TS185,5,4.18e-01
TS227,4,5.38e-01
