Lab,Num,P-value
Das,6,1.55e-06
FARFAR2,4,1.55e-06
FARFAR2,8,2.63e-06
TFN,3,1.13e-05
SimRNA,4,2.09e-05
TFN,7,4.73e-05
Chen,9,8.96e-05
FARFAR2,5,5.24e-04
Das,5,5.94e-04
FARFAR2,3,5.94e-04
SimRNA,2,6.50e-04
TFN,4,8.32e-04
Adamiak,4,8.79e-04
Ding,3,9.61e-04
Das,3,1.10e-03
FARFAR2,10,1.10e-03
Das,4,1.59e-03
FARFAR2,2,1.59e-03
Das,10,1.61e-03
Das,1,1.80e-03
Bujnicki,2,2.05e-03
Das,2,2.14e-03
FARFAR2,1,2.14e-03
TFN,8,2.30e-03
Ding,1,2.35e-03
SimRNA,3,2.71e-03
SimRNA,5,2.75e-03
Das,7,2.84e-03
FARFAR2,6,2.84e-03
Das,8,2.97e-03
FARFAR2,7,2.97e-03
TFN,6,3.31e-03
iFoldRNA,1,4.05e-03
Bujnicki,3,4.21e-03
Bujnicki,4,4.39e-03
TFN,2,4.50e-03
SimRNA,1,6.23e-03
Chen,5,6.48e-03
TFN,9,8.68e-03
Das,9,9.13e-03
Ding,2,9.54e-03
Chen,6,9.71e-03
Bujnicki,1,1.51e-02
Bujnicki,5,1.68e-02
Chen,8,1.71e-02
FARFAR2,9,1.81e-02
TFN,1,2.14e-02
Chen,4,2.60e-02
RNAComposer,3,3.01e-02
iFoldRNA,2,3.04e-02
TFN,10,5.18e-02
Chen,2,6.21e-02
Adamiak,1,1.03e-01
Chen,10,1.13e-01
Chen,7,1.17e-01
Chen,1,1.21e-01
TFN,5,1.98e-01
Chen,3,2.01e-01
Adamiak,2,2.20e-01
Adamiak,3,2.36e-01
Xiao,1,3.00e-01
RNAComposer,1,3.50e-01
RNAComposer,2,4.17e-01
Xiao,3,8.24e-01
Xiao,4,8.24e-01
Xiao,5,8.24e-01
Xiao,2,9.73e-01
