Lab,Num,RMSD
Das,6,13.200
FARFAR2,4,13.200
FARFAR2,8,13.397
TFN,3,13.967
SimRNA,4,14.219
TFN,7,14.567
Chen,9,14.850
FARFAR2,5,15.695
Das,5,15.759
FARFAR2,3,15.759
SimRNA,2,15.806
TFN,4,15.934
Adamiak,4,15.963
Ding,3,16.011
Das,3,16.085
FARFAR2,10,16.085
Das,4,16.286
FARFAR2,2,16.286
Das,10,16.291
Das,1,16.356
Bujnicki,2,16.428
Das,2,16.452
FARFAR2,1,16.452
TFN,8,16.493
Ding,1,16.507
SimRNA,3,16.588
SimRNA,5,16.597
Das,7,16.617
FARFAR2,6,16.617
Das,8,16.642
FARFAR2,7,16.642
TFN,6,16.706
iFoldRNA,1,16.828
Bujnicki,3,16.852
Bujnicki,4,16.877
TFN,2,16.893
SimRNA,1,17.096
Chen,5,17.121
TFN,9,17.312
Das,9,17.346
Ding,2,17.375
Chen,6,17.387
Bujnicki,1,17.693
Bujnicki,5,17.768
Chen,8,17.783
FARFAR2,9,17.824
TFN,1,17.948
Chen,4,18.096
RNAComposer,3,18.211
iFoldRNA,2,18.220
TFN,10,18.665
Chen,2,18.828
Adamiak,1,19.323
Chen,10,19.413
Chen,7,19.451
Chen,1,19.485
TFN,5,20.064
Chen,3,20.085
Adamiak,2,20.201
Adamiak,3,20.299
Xiao,1,20.652
RNAComposer,1,20.901
RNAComposer,2,21.216
Xiao,3,23.271
Xiao,4,23.271
Xiao,5,23.271
Xiao,2,25.069
