Lab,Num,Clash Score
Das,6,0.520
FARFAR2,4,0.520
FARFAR2,8,5.150
TFN,3,4.120
SimRNA,4,136.080
TFN,7,3.090
Chen,9,4.120
FARFAR2,5,1.030
Das,5,1.550
FARFAR2,3,1.550
SimRNA,2,166.840
TFN,4,3.090
Adamiak,4,8.760
Ding,3,11.850
Das,3,3.090
FARFAR2,10,3.090
Das,4,2.580
FARFAR2,2,2.580
Das,10,3.090
Das,1,2.060
Bujnicki,2,2.060
Das,2,3.610
FARFAR2,1,3.610
TFN,8,5.150
Ding,1,14.940
SimRNA,3,90.390
SimRNA,5,163.400
Das,7,1.550
FARFAR2,6,1.550
Das,8,1.030
FARFAR2,7,1.030
TFN,6,8.760
iFoldRNA,1,103.040
Bujnicki,3,3.090
Bujnicki,4,0.000
TFN,2,4.120
SimRNA,1,133.950
Chen,5,5.150
TFN,9,5.670
Das,9,3.090
Ding,2,10.820
Chen,6,4.120
Bujnicki,1,0.000
Bujnicki,5,0.000
Chen,8,1.550
FARFAR2,9,2.580
TFN,1,3.610
Chen,4,5.150
RNAComposer,3,6.700
iFoldRNA,2,137.540
TFN,10,2.580
Chen,2,4.120
Adamiak,1,8.760
Chen,10,5.150
Chen,7,2.060
Chen,1,1.030
TFN,5,1.030
Chen,3,4.640
Adamiak,2,10.300
Adamiak,3,9.790
Xiao,1,1.030
RNAComposer,1,7.730
RNAComposer,2,6.700
Xiao,3,13.400
Xiao,4,13.400
Xiao,5,13.400
Xiao,2,0.520
