Lab,Num,TM-score
Das,6,0.3080
FARFAR2,4,0.3080
FARFAR2,8,0.2160
TFN,3,0.1990
SimRNA,4,0.2800
TFN,7,0.2070
Chen,9,0.1840
FARFAR2,5,0.3000
Das,5,0.2110
FARFAR2,3,0.2110
SimRNA,2,0.2540
TFN,4,0.2150
Adamiak,4,0.2580
Ding,3,0.2090
Das,3,0.2310
FARFAR2,10,0.2310
Das,4,0.2340
FARFAR2,2,0.2340
Das,10,0.2200
Das,1,0.2520
Bujnicki,2,0.1920
Das,2,0.1970
FARFAR2,1,0.1970
TFN,8,0.2260
Ding,1,0.2180
SimRNA,3,0.2870
SimRNA,5,0.2020
Das,7,0.2690
FARFAR2,6,0.2690
Das,8,0.2200
FARFAR2,7,0.2200
TFN,6,0.2210
iFoldRNA,1,0.2190
Bujnicki,3,0.2130
Bujnicki,4,0.2260
TFN,2,0.2070
SimRNA,1,0.2160
Chen,5,0.2030
TFN,9,0.2690
Das,9,0.2270
Ding,2,0.2630
Chen,6,0.1980
Bujnicki,1,0.2220
Bujnicki,5,0.2650
Chen,8,0.1850
FARFAR2,9,0.2130
TFN,1,0.2230
Chen,4,0.1950
RNAComposer,3,0.2810
iFoldRNA,2,0.2120
TFN,10,0.2420
Chen,2,0.1990
Adamiak,1,0.2620
Chen,10,0.2170
Chen,7,0.2150
Chen,1,0.2030
TFN,5,0.2230
Chen,3,0.2060
Adamiak,2,0.2320
Adamiak,3,0.2520
Xiao,1,0.2360
RNAComposer,1,0.2620
RNAComposer,2,0.2060
Xiao,3,0.2200
Xiao,4,0.2200
Xiao,5,0.2200
Xiao,2,0.1860
