Lab,Num,DI all
Das,6,17.737
FARFAR2,4,17.737
FARFAR2,8,17.886
TFN,3,17.377
SimRNA,4,19.050
TFN,7,19.074
Chen,9,18.301
FARFAR2,5,20.816
Das,5,20.498
FARFAR2,3,20.498
SimRNA,2,21.176
TFN,4,19.590
Adamiak,4,20.547
Ding,3,21.830
Das,3,20.148
FARFAR2,10,20.148
Das,4,21.309
FARFAR2,2,21.309
Das,10,20.516
Das,1,20.956
Bujnicki,2,20.937
Das,2,22.102
FARFAR2,1,22.102
TFN,8,21.837
Ding,1,20.278
SimRNA,3,22.052
SimRNA,5,20.014
Das,7,21.487
FARFAR2,6,21.487
Das,8,22.072
FARFAR2,7,22.072
TFN,6,21.251
iFoldRNA,1,21.355
Bujnicki,3,21.362
Bujnicki,4,22.106
TFN,2,22.254
SimRNA,1,21.108
Chen,5,21.947
TFN,9,22.518
Das,9,21.743
Ding,2,22.365
Chen,6,24.112
Bujnicki,1,22.124
Bujnicki,5,17.768
Chen,8,23.515
FARFAR2,9,24.112
TFN,1,23.789
Chen,4,26.441
RNAComposer,3,18.211
iFoldRNA,2,24.123
TFN,10,24.588
Chen,2,26.839
Adamiak,1,19.323
Chen,10,24.779
Chen,7,26.332
Chen,1,25.180
TFN,5,25.089
Chen,3,26.194
Adamiak,2,26.238
Adamiak,3,25.467
Xiao,1,47.044
RNAComposer,1,20.901
RNAComposer,2,21.216
Xiao,3,58.700
Xiao,4,58.700
Xiao,5,58.700
Xiao,2,63.236
