Lab,Num,mcq
Das,6,17.75
FARFAR2,4,17.75
FARFAR2,8,18.71
TFN,3,19.18
SimRNA,4,22.45
TFN,7,19.00
Chen,9,27.60
FARFAR2,5,18.08
Das,5,19.17
FARFAR2,3,19.17
SimRNA,2,24.25
TFN,4,20.22
Adamiak,4,24.91
Ding,3,20.50
Das,3,19.58
FARFAR2,10,19.58
Das,4,18.55
FARFAR2,2,18.55
Das,10,15.03
Das,1,16.82
Bujnicki,2,20.97
Das,2,18.51
FARFAR2,1,18.51
TFN,8,19.95
Ding,1,20.58
SimRNA,3,23.69
SimRNA,5,21.84
Das,7,17.42
FARFAR2,6,17.42
Das,8,18.85
FARFAR2,7,18.85
TFN,6,20.04
iFoldRNA,1,23.26
Bujnicki,3,20.86
Bujnicki,4,18.45
TFN,2,18.80
SimRNA,1,20.08
Chen,5,28.04
TFN,9,20.39
Das,9,16.68
Ding,2,20.79
Chen,6,27.65
Bujnicki,1,19.29
Bujnicki,5,20.86
Chen,8,23.19
FARFAR2,9,17.90
TFN,1,19.32
Chen,4,24.62
RNAComposer,3,23.96
iFoldRNA,2,23.17
TFN,10,19.66
Chen,2,26.01
Adamiak,1,22.37
Chen,10,25.88
Chen,7,26.15
Chen,1,26.02
TFN,5,21.16
Chen,3,25.81
Adamiak,2,27.78
Adamiak,3,23.64
Xiao,1,25.51
RNAComposer,1,20.82
RNAComposer,2,22.74
Xiao,3,28.13
Xiao,4,28.13
Xiao,5,28.13
Xiao,2,26.13
