Lab,Num,Clash Score
TFN,10,1.660
Das,3,2.070
FARFAR2,4,2.070
TFN,9,1.660
Das,8,2.070
FARFAR2,1,2.070
Das,2,1.660
FARFAR2,2,1.660
TFN,7,2.070
Das,7,2.070
FARFAR2,7,2.070
TFN,3,1.660
TFN,1,1.660
TFN,6,1.660
Das,5,1.660
FARFAR2,8,1.660
TFN,2,1.660
FARFAR2,6,1.660
TFN,5,1.660
TFN,8,2.070
Das,1,1.660
FARFAR2,3,1.660
Das,6,1.660
FARFAR2,9,1.660
TFN,4,2.070
Chen,9,4.150
Das,10,2.070
Chen,7,0.830
FARFAR2,10,2.070
Chen,6,4.560
Chen,8,3.320
Chen,4,0.830
Chen,10,3.320
RNAComposer,1,8.300
Chen,2,2.900
RNAComposer,2,9.540
Das,4,1.660
FARFAR2,5,1.660
Das,9,1.660
Chen,3,0.830
Chen,1,1.660
Xiao,1,14.520
Xiao,2,14.520
Xiao,3,14.520
Xiao,4,14.520
Xiao,5,14.520
Adamiak,1,11.620
Chen,5,2.070
Adamiak,2,9.540
Bujnicki,1,0.410
Bujnicki,5,1.660
Bujnicki,3,0.410
Bujnicki,2,0.000
RNAComposer,4,9.960
RNAComposer,3,9.960
Bujnicki,4,0.000
RNAComposer,5,8.710
SimRNA,2,139.590
SimRNA,5,136.290
iFoldRNA,5,109.630
SimRNA,4,101.120
iFoldRNA,3,140.610
SimRNA,3,127.170
iFoldRNA,4,127.850
SimRNA,1,117.180
iFoldRNA,2,175.740
iFoldRNA,1,106.640
