Lab,Num,DI all
TFN,10,2.380
Das,3,2.363
FARFAR2,4,2.363
TFN,9,2.386
Das,8,2.443
FARFAR2,1,2.443
Das,2,2.448
FARFAR2,2,2.448
TFN,7,2.454
Das,7,2.473
FARFAR2,7,2.473
TFN,3,2.477
TFN,1,2.480
TFN,6,2.481
Das,5,2.542
FARFAR2,8,2.542
TFN,2,2.545
FARFAR2,6,2.551
TFN,5,2.569
TFN,8,2.572
Das,1,2.564
FARFAR2,3,2.564
Das,6,2.587
FARFAR2,9,2.587
TFN,4,2.585
Chen,9,2.650
Das,10,2.866
Chen,7,2.949
FARFAR2,10,2.937
Chen,6,3.169
Chen,8,3.263
Chen,4,3.244
Chen,10,3.241
RNAComposer,1,3.437
Chen,2,3.321
RNAComposer,2,3.503
Das,4,3.665
FARFAR2,5,3.665
Das,9,3.728
Chen,3,4.252
Chen,1,4.596
Xiao,1,5.454
Xiao,2,5.454
Xiao,3,5.454
Xiao,4,5.454
Xiao,5,5.454
Adamiak,1,5.241
Chen,5,5.026
Adamiak,2,5.241
Bujnicki,1,5.252
Bujnicki,5,5.809
Bujnicki,3,5.944
Bujnicki,2,6.438
RNAComposer,4,7.038
RNAComposer,3,7.069
Bujnicki,4,7.012
RNAComposer,5,7.561
SimRNA,2,40.535
SimRNA,5,44.085
iFoldRNA,5,48.457
SimRNA,4,49.047
iFoldRNA,3,55.243
SimRNA,3,49.462
iFoldRNA,4,54.597
SimRNA,1,52.750
iFoldRNA,2,60.983
iFoldRNA,1,59.866
