Lab,Num,TM-score
TFN,10,0.1540
Das,3,0.1640
FARFAR2,4,0.1640
TFN,9,0.1610
Das,8,0.1580
FARFAR2,1,0.1580
Das,2,0.1570
FARFAR2,2,0.1570
TFN,7,0.1570
Das,7,0.1600
FARFAR2,7,0.1600
TFN,3,0.1600
TFN,1,0.1600
TFN,6,0.1600
Das,5,0.1600
FARFAR2,8,0.1600
TFN,2,0.1600
FARFAR2,6,0.1590
TFN,5,0.1590
TFN,8,0.1590
Das,1,0.1630
FARFAR2,3,0.1630
Das,6,0.1590
FARFAR2,9,0.1590
TFN,4,0.1490
Chen,9,0.1560
Das,10,0.1450
Chen,7,0.1770
FARFAR2,10,0.1600
Chen,6,0.1700
Chen,8,0.1460
Chen,4,0.1840
Chen,10,0.1500
RNAComposer,1,0.1620
Chen,2,0.1840
RNAComposer,2,0.1700
Das,4,0.1700
FARFAR2,5,0.1700
Das,9,0.1640
Chen,3,0.1940
Chen,1,0.1440
Xiao,1,0.1760
Xiao,2,0.1760
Xiao,3,0.1760
Xiao,4,0.1760
Xiao,5,0.1760
Adamiak,1,0.1820
Chen,5,0.1890
Adamiak,2,0.1520
Bujnicki,1,0.1900
Bujnicki,5,0.1980
Bujnicki,3,0.1960
Bujnicki,2,0.1840
RNAComposer,4,0.1890
RNAComposer,3,0.1750
Bujnicki,4,0.1760
RNAComposer,5,0.1660
SimRNA,2,0.1340
SimRNA,5,0.1170
iFoldRNA,5,0.1450
SimRNA,4,0.1740
iFoldRNA,3,0.1440
SimRNA,3,0.1500
iFoldRNA,4,0.1610
SimRNA,1,0.1420
iFoldRNA,2,0.1400
iFoldRNA,1,0.1350
