Lab,Num,mcq
TFN,10,16.70
Das,3,16.84
FARFAR2,4,16.84
TFN,9,16.81
Das,8,16.95
FARFAR2,1,16.95
Das,2,16.74
FARFAR2,2,16.74
TFN,7,16.74
Das,7,16.74
FARFAR2,7,16.74
TFN,3,16.74
TFN,1,16.74
TFN,6,16.74
Das,5,16.75
FARFAR2,8,16.75
TFN,2,16.75
FARFAR2,6,16.75
TFN,5,16.77
TFN,8,16.77
Das,1,16.86
FARFAR2,3,16.86
Das,6,16.75
FARFAR2,9,16.75
TFN,4,16.94
Chen,9,22.83
Das,10,16.88
Chen,7,22.59
FARFAR2,10,16.98
Chen,6,23.37
Chen,8,23.25
Chen,4,23.42
Chen,10,22.59
RNAComposer,1,18.56
Chen,2,23.56
RNAComposer,2,21.26
Das,4,17.09
FARFAR2,5,17.09
Das,9,17.10
Chen,3,22.51
Chen,1,23.30
Xiao,1,27.89
Xiao,2,27.89
Xiao,3,27.89
Xiao,4,27.89
Xiao,5,27.89
Adamiak,1,21.86
Chen,5,24.00
Adamiak,2,21.16
Bujnicki,1,21.10
Bujnicki,5,21.66
Bujnicki,3,20.70
Bujnicki,2,20.64
RNAComposer,4,20.21
RNAComposer,3,20.13
Bujnicki,4,21.23
RNAComposer,5,21.59
SimRNA,2,26.43
SimRNA,5,29.20
iFoldRNA,5,30.00
SimRNA,4,26.91
iFoldRNA,3,27.68
SimRNA,3,25.50
iFoldRNA,4,27.09
SimRNA,1,26.16
iFoldRNA,2,27.78
iFoldRNA,1,23.99
