Lab,Num,INF wc
TFN,10,0.978
Das,3,0.978
FARFAR2,4,0.978
TFN,9,0.978
Das,8,0.978
FARFAR2,1,0.978
Das,2,0.978
FARFAR2,2,0.978
TFN,7,0.978
Das,7,0.978
FARFAR2,7,0.978
TFN,3,0.978
TFN,1,0.978
TFN,6,0.978
Das,5,0.978
FARFAR2,8,0.978
TFN,2,0.978
FARFAR2,6,0.978
TFN,5,0.978
TFN,8,0.978
Das,1,0.978
FARFAR2,3,0.978
Das,6,0.978
FARFAR2,9,0.978
TFN,4,0.978
Chen,9,0.978
Das,10,0.978
Chen,7,0.978
FARFAR2,10,0.978
Chen,6,0.978
Chen,8,0.978
Chen,4,0.978
Chen,10,0.978
RNAComposer,1,0.978
Chen,2,0.978
RNAComposer,2,0.955
Das,4,0.978
FARFAR2,5,0.978
Das,9,0.978
Chen,3,0.930
Chen,1,0.978
Xiao,1,0.854
Xiao,2,0.854
Xiao,3,0.854
Xiao,4,0.854
Xiao,5,0.854
Adamiak,1,1.000
Chen,5,0.978
Adamiak,2,0.978
Bujnicki,1,0.978
Bujnicki,5,0.978
Bujnicki,3,0.978
Bujnicki,2,0.978
RNAComposer,4,0.955
RNAComposer,3,0.955
Bujnicki,4,0.978
RNAComposer,5,0.955
SimRNA,2,0.473
SimRNA,5,0.492
iFoldRNA,5,0.456
SimRNA,4,0.386
iFoldRNA,3,0.369
SimRNA,3,0.473
iFoldRNA,4,0.440
SimRNA,1,0.532
iFoldRNA,2,0.465
iFoldRNA,1,0.440
