Lab,Num,P-value
BujnickiPreExp,2,0.00e+00
BujnickiPreExp,1,0.00e+00
BujnickiPreExp,4,0.00e+00
BujnickiPreExp,3,5.55e-17
DasPreExp,6,7.77e-16
BujnickiPreExp,5,2.33e-15
ChenPostExp,6,3.33e-15
ChenPostExp,2,4.55e-15
DasPreExp,9,5.72e-15
ChenPostExp,5,2.75e-14
DasPreExp,8,2.80e-14
DasPostExp,10,1.45e-11
DasPreExp,5,1.45e-11
ChenPostExp,7,1.10e-09
BujnickiPreExp,6,1.72e-09
ChenPostExp,9,1.72e-09
DingPostExp,1,3.02e-09
DasPostExp,7,9.38e-09
DasPreExp,2,9.38e-09
BujnickiPostExp,5,1.08e-08
DasPostExp,2,1.44e-08
DasPreExp,7,1.55e-08
DasPostExp,5,1.60e-08
DingPostExp,8,2.58e-08
DingPostExp,2,3.61e-08
DasPostExp,8,1.03e-07
DasPreExp,3,1.03e-07
DasPostExp,6,1.23e-07
DasPreExp,1,1.23e-07
DingPostExp,9,2.31e-07
BujnickiPostExp,4,3.75e-07
DasPostExp,4,4.25e-07
DingPreExp,2,4.55e-07
DingPostExp,5,5.54e-07
DingPreExp,3,8.18e-07
DingPreExp,1,6.44e-06
DasPostExp,1,8.13e-06
BujnickiPostExp,2,1.05e-05
BujnickiPostExp,1,1.28e-05
DasPostExp,3,1.46e-05
DingPreExp,7,1.82e-05
DingPostExp,3,1.89e-05
DingPreExp,4,3.92e-05
AdamiakPostExp,2,4.70e-05
ChenPostExp,8,6.27e-05
DingPostExp,10,1.18e-04
AdamiakPostExp,1,1.53e-04
DingPostExp,7,1.64e-04
DingPreExp,6,1.73e-04
ChenPostExp,4,2.15e-04
BujnickiPreExp,7,2.24e-04
DingPreExp,8,2.62e-04
DasPostExp,9,3.92e-04
DasPreExp,10,3.92e-04
DingPostExp,4,4.32e-04
ChenPostExp,3,5.49e-04
AdamiakPreExp,1,6.87e-04
AdamiakPreExp,2,1.06e-03
BujnickiPostExp,3,1.33e-03
ChenPostExp,10,1.94e-03
DingPreExp,5,2.31e-03
DasPreExp,4,2.81e-03
DingPostExp,6,6.22e-03
ChenPostExp,1,7.90e-03
