Lab,Num,INF all
BujnickiPreExp,2,0.782
BujnickiPreExp,1,0.766
BujnickiPreExp,4,0.752
BujnickiPreExp,3,0.794
DasPreExp,6,0.783
BujnickiPreExp,5,0.783
ChenPostExp,6,0.687
ChenPostExp,2,0.714
DasPreExp,9,0.810
ChenPostExp,5,0.707
DasPreExp,8,0.789
DasPostExp,10,0.762
DasPreExp,5,0.762
ChenPostExp,7,0.687
BujnickiPreExp,6,0.832
ChenPostExp,9,0.746
DingPostExp,1,0.670
DasPostExp,7,0.762
DasPreExp,2,0.762
BujnickiPostExp,5,0.695
DasPostExp,2,0.756
DasPreExp,7,0.777
DasPostExp,5,0.730
DingPostExp,8,0.722
DingPostExp,2,0.688
DasPostExp,8,0.708
DasPreExp,3,0.708
DasPostExp,6,0.766
DasPreExp,1,0.766
DingPostExp,9,0.712
BujnickiPostExp,4,0.626
DasPostExp,4,0.778
DingPreExp,2,0.695
DingPostExp,5,0.722
DingPreExp,3,0.730
DingPreExp,1,0.710
DasPostExp,1,0.738
BujnickiPostExp,2,0.642
BujnickiPostExp,1,0.784
DasPostExp,3,0.732
DingPreExp,7,0.697
DingPostExp,3,0.783
DingPreExp,4,0.655
AdamiakPostExp,2,0.779
ChenPostExp,8,0.764
DingPostExp,10,0.610
AdamiakPostExp,1,0.774
DingPostExp,7,0.665
DingPreExp,6,0.658
ChenPostExp,4,0.783
BujnickiPreExp,7,0.583
DingPreExp,8,0.735
DasPostExp,9,0.648
DasPreExp,10,0.648
DingPostExp,4,0.658
ChenPostExp,3,0.755
AdamiakPreExp,1,0.774
AdamiakPreExp,2,0.747
BujnickiPostExp,3,0.669
ChenPostExp,10,0.716
DingPreExp,5,0.637
DasPreExp,4,0.798
DingPostExp,6,0.723
ChenPostExp,1,0.640
