Lab,Num,Clash Score
BujnickiPreExp,2,8.740
BujnickiPreExp,1,7.720
BujnickiPreExp,4,11.350
BujnickiPreExp,3,8.230
DasPreExp,6,11.830
BujnickiPreExp,5,0.000
ChenPostExp,6,0.000
ChenPostExp,2,0.000
DasPreExp,9,6.170
ChenPostExp,5,0.510
DasPreExp,8,6.690
DasPostExp,10,5.660
DasPreExp,5,5.660
ChenPostExp,7,0.510
BujnickiPreExp,6,7.720
ChenPostExp,9,0.510
DingPostExp,1,11.320
DasPostExp,7,2.570
DasPreExp,2,2.570
BujnickiPostExp,5,23.150
DasPostExp,2,8.740
DasPreExp,7,12.350
DasPostExp,5,6.180
DingPostExp,8,15.940
DingPostExp,2,13.890
DasPostExp,8,11.840
DasPreExp,3,11.840
DasPostExp,6,7.200
DasPreExp,1,7.200
DingPostExp,9,11.320
BujnickiPostExp,4,28.840
DasPostExp,4,5.140
DingPreExp,2,15.950
DingPostExp,5,21.090
DingPreExp,3,15.430
DingPreExp,1,13.370
DasPostExp,1,12.350
BujnickiPostExp,2,29.320
BujnickiPostExp,1,18.520
DasPostExp,3,14.400
DingPreExp,7,16.460
DingPostExp,3,10.290
DingPreExp,4,15.430
AdamiakPostExp,2,14.420
ChenPostExp,8,2.570
DingPostExp,10,13.890
AdamiakPostExp,1,5.660
DingPostExp,7,20.060
DingPreExp,6,8.740
ChenPostExp,4,0.000
BujnickiPreExp,7,8.230
DingPreExp,8,13.890
DasPostExp,9,6.170
DasPreExp,10,6.170
DingPostExp,4,15.950
ChenPostExp,3,3.600
AdamiakPreExp,1,5.150
AdamiakPreExp,2,7.720
BujnickiPostExp,3,12.350
ChenPostExp,10,0.000
DingPreExp,5,12.860
DasPreExp,4,13.890
DingPostExp,6,17.490
ChenPostExp,1,0.510
