Lab,Num,mcq
BujnickiPreExp,2,23.15
BujnickiPreExp,1,20.77
BujnickiPreExp,4,19.84
BujnickiPreExp,3,21.56
DasPreExp,6,23.10
BujnickiPreExp,5,20.67
ChenPostExp,6,22.00
ChenPostExp,2,23.71
DasPreExp,9,19.93
ChenPostExp,5,22.71
DasPreExp,8,19.95
DasPostExp,10,22.75
DasPreExp,5,22.75
ChenPostExp,7,23.83
BujnickiPreExp,6,21.95
ChenPostExp,9,20.33
DingPostExp,1,23.09
DasPostExp,7,19.54
DasPreExp,2,19.54
BujnickiPostExp,5,26.20
DasPostExp,2,21.51
DasPreExp,7,21.18
DasPostExp,5,20.10
DingPostExp,8,21.53
DingPostExp,2,22.40
DasPostExp,8,21.63
DasPreExp,3,21.63
DasPostExp,6,21.72
DasPreExp,1,21.72
DingPostExp,9,24.62
BujnickiPostExp,4,23.40
DasPostExp,4,20.44
DingPreExp,2,23.25
DingPostExp,5,22.20
DingPreExp,3,22.31
DingPreExp,1,24.92
DasPostExp,1,21.38
BujnickiPostExp,2,23.49
BujnickiPostExp,1,22.00
DasPostExp,3,21.26
DingPreExp,7,21.65
DingPostExp,3,21.01
DingPreExp,4,22.08
AdamiakPostExp,2,20.31
ChenPostExp,8,21.36
DingPostExp,10,22.27
AdamiakPostExp,1,17.01
DingPostExp,7,21.66
DingPreExp,6,22.01
ChenPostExp,4,22.63
BujnickiPreExp,7,26.63
DingPreExp,8,23.36
DasPostExp,9,21.65
DasPreExp,10,21.65
DingPostExp,4,22.36
ChenPostExp,3,19.73
AdamiakPreExp,1,18.38
AdamiakPreExp,2,19.66
BujnickiPostExp,3,26.40
ChenPostExp,10,20.29
DingPreExp,5,20.60
DasPreExp,4,23.61
DingPostExp,6,22.13
ChenPostExp,1,22.28
