Lab,Num,TM-score
BujnickiPreExp,2,0.4150
BujnickiPreExp,1,0.4140
BujnickiPreExp,4,0.2880
BujnickiPreExp,3,0.4160
DasPreExp,6,0.3670
BujnickiPreExp,5,0.3050
ChenPostExp,6,0.3300
ChenPostExp,2,0.2880
DasPreExp,9,0.2990
ChenPostExp,5,0.3290
DasPreExp,8,0.3170
DasPostExp,10,0.3050
DasPreExp,5,0.3050
ChenPostExp,7,0.3080
BujnickiPreExp,6,0.3780
ChenPostExp,9,0.3050
DingPostExp,1,0.2430
DasPostExp,7,0.2410
DasPreExp,2,0.2410
BujnickiPostExp,5,0.2670
DasPostExp,2,0.2430
DasPreExp,7,0.2900
DasPostExp,5,0.2780
DingPostExp,8,0.3040
DingPostExp,2,0.3090
DasPostExp,8,0.2360
DasPreExp,3,0.2360
DasPostExp,6,0.2590
DasPreExp,1,0.2590
DingPostExp,9,0.2920
BujnickiPostExp,4,0.1740
DasPostExp,4,0.2660
DingPreExp,2,0.2340
DingPostExp,5,0.2540
DingPreExp,3,0.2810
DingPreExp,1,0.2590
DasPostExp,1,0.2810
BujnickiPostExp,2,0.2400
BujnickiPostExp,1,0.3100
DasPostExp,3,0.2670
DingPreExp,7,0.2770
DingPostExp,3,0.2650
DingPreExp,4,0.2630
AdamiakPostExp,2,0.2440
ChenPostExp,8,0.3270
DingPostExp,10,0.2120
AdamiakPostExp,1,0.3490
DingPostExp,7,0.2410
DingPreExp,6,0.2450
ChenPostExp,4,0.3090
BujnickiPreExp,7,0.2000
DingPreExp,8,0.2090
DasPostExp,9,0.2340
DasPreExp,10,0.2340
DingPostExp,4,0.2360
ChenPostExp,3,0.3300
AdamiakPreExp,1,0.3620
AdamiakPreExp,2,0.2890
BujnickiPostExp,3,0.1940
ChenPostExp,10,0.3330
DingPreExp,5,0.2410
DasPreExp,4,0.2820
DingPostExp,6,0.2400
ChenPostExp,1,0.2570
