Lab,Num,INF stacking
BujnickiPreExp,2,0.767
BujnickiPreExp,1,0.741
BujnickiPreExp,4,0.701
BujnickiPreExp,3,0.756
DasPreExp,6,0.801
BujnickiPreExp,5,0.739
ChenPostExp,6,0.645
ChenPostExp,2,0.701
DasPreExp,9,0.792
ChenPostExp,5,0.660
DasPreExp,8,0.783
DasPostExp,10,0.753
DasPreExp,5,0.753
ChenPostExp,7,0.629
BujnickiPreExp,6,0.810
ChenPostExp,9,0.726
DingPostExp,1,0.616
DasPostExp,7,0.745
DasPreExp,2,0.745
BujnickiPostExp,5,0.645
DasPostExp,2,0.737
DasPreExp,7,0.765
DasPostExp,5,0.712
DingPostExp,8,0.690
DingPostExp,2,0.641
DasPostExp,8,0.696
DasPreExp,3,0.696
DasPostExp,6,0.744
DasPreExp,1,0.744
DingPostExp,9,0.690
BujnickiPostExp,4,0.553
DasPostExp,4,0.792
DingPreExp,2,0.650
DingPostExp,5,0.690
DingPreExp,3,0.686
DingPreExp,1,0.686
DasPostExp,1,0.741
BujnickiPostExp,2,0.608
BujnickiPostExp,1,0.729
DasPostExp,3,0.723
DingPreExp,7,0.636
DingPostExp,3,0.765
DingPreExp,4,0.580
AdamiakPostExp,2,0.754
ChenPostExp,8,0.728
DingPostExp,10,0.556
AdamiakPostExp,1,0.735
DingPostExp,7,0.590
DingPreExp,6,0.575
ChenPostExp,4,0.751
BujnickiPreExp,7,0.523
DingPreExp,8,0.690
DasPostExp,9,0.622
DasPreExp,10,0.622
DingPostExp,4,0.614
ChenPostExp,3,0.697
AdamiakPreExp,1,0.735
AdamiakPreExp,2,0.719
BujnickiPostExp,3,0.622
ChenPostExp,10,0.688
DingPreExp,5,0.565
DasPreExp,4,0.796
DingPostExp,6,0.694
ChenPostExp,1,0.568
