Lab,Num,INF wc
BujnickiPreExp,2,0.933
BujnickiPreExp,1,0.935
BujnickiPreExp,4,0.970
BujnickiPreExp,3,1.000
DasPreExp,6,0.812
BujnickiPreExp,5,0.970
ChenPostExp,6,0.935
ChenPostExp,2,0.935
DasPreExp,9,0.869
ChenPostExp,5,0.968
DasPreExp,8,0.869
DasPostExp,10,0.839
DasPreExp,5,0.839
ChenPostExp,7,0.968
BujnickiPreExp,6,0.938
ChenPostExp,9,0.968
DingPostExp,1,0.935
DasPostExp,7,0.839
DasPreExp,2,0.839
BujnickiPostExp,5,0.910
DasPostExp,2,0.839
DasPreExp,7,0.869
DasPostExp,5,0.832
DingPostExp,8,0.935
DingPostExp,2,0.935
DasPostExp,8,0.869
DasPreExp,3,0.869
DasPostExp,6,0.869
DasPreExp,1,0.869
DingPostExp,9,0.901
BujnickiPostExp,4,0.884
DasPostExp,4,0.775
DingPreExp,2,0.935
DingPostExp,5,0.935
DingPreExp,3,0.968
DingPreExp,1,0.901
DasPostExp,1,0.802
BujnickiPostExp,2,0.884
BujnickiPostExp,1,0.968
DasPostExp,3,0.802
DingPreExp,7,0.968
DingPostExp,3,0.968
DingPreExp,4,0.968
AdamiakPostExp,2,0.968
ChenPostExp,8,0.968
DingPostExp,10,0.866
AdamiakPostExp,1,0.904
DingPostExp,7,0.968
DingPreExp,6,0.968
ChenPostExp,4,0.968
BujnickiPreExp,7,0.818
DingPreExp,8,0.968
DasPostExp,9,0.832
DasPreExp,10,0.832
DingPostExp,4,0.901
ChenPostExp,3,0.968
AdamiakPreExp,1,0.904
AdamiakPreExp,2,0.904
BujnickiPostExp,3,0.860
ChenPostExp,10,0.968
DingPreExp,5,0.935
DasPreExp,4,0.869
DingPostExp,6,0.935
ChenPostExp,1,0.938
