Lab,Num,P-value
RNAComposer,1,0.00e+00
Chen,9,5.55e-17
Szachniuk,3,5.55e-17
RNAComposer,5,1.11e-16
RNAComposer,3,1.11e-16
Szachniuk,1,2.22e-16
Szachniuk,5,2.22e-16
Chen,10,6.11e-16
DasPOSTDEADLINE,8,1.89e-15
DasPOSTDEADLINE,2,2.72e-15
Chen,4,1.84e-14
Szachniuk,2,1.27e-13
Chen,5,4.37e-13
DasPOSTDEADLINE,3,4.88e-13
DasPOSTDEADLINE,4,7.24e-13
Szachniuk,4,2.52e-12
DasPOSTDEADLINE,5,6.11e-12
Chen,8,7.15e-12
Chen,3,2.14e-11
RNAComposer,4,2.31e-11
DasPOSTDEADLINE,9,3.56e-11
DasPOSTDEADLINE,7,5.01e-11
DasPOSTDEADLINE,6,1.31e-09
Chen,2,3.51e-09
DasPOSTDEADLINE,10,3.73e-09
SimRNA,3,1.11e-08
RNAComposer,2,6.63e-07
Chen,7,7.82e-07
Chen,1,2.53e-05
SimRNA,5,2.54e-05
SimRNA,2,8.09e-05
SimRNA,4,1.36e-04
Chen,6,1.71e-04
SimRNA,1,2.01e-04
DasPOSTDEADLINE,1,6.86e-04
Dokholyan,1,1.50e-02
