Lab,Num,INF nwc
RNAComposer,1,-
Chen,9,-
Szachniuk,3,-
RNAComposer,5,-
RNAComposer,3,-
Szachniuk,1,-
Szachniuk,5,-
Chen,10,-
DasPOSTDEADLINE,8,-
DasPOSTDEADLINE,2,-
Chen,4,-
Szachniuk,2,-
Chen,5,-
DasPOSTDEADLINE,3,-
DasPOSTDEADLINE,4,-
Szachniuk,4,-
DasPOSTDEADLINE,5,-
Chen,8,-
Chen,3,-
RNAComposer,4,-
DasPOSTDEADLINE,9,-
DasPOSTDEADLINE,7,-
DasPOSTDEADLINE,6,-
Chen,2,-
DasPOSTDEADLINE,10,-
SimRNA,3,-
RNAComposer,2,-
Chen,7,-
Chen,1,-
SimRNA,5,-
SimRNA,2,-
SimRNA,4,-
Chen,6,-
SimRNA,1,-
DasPOSTDEADLINE,1,-
Dokholyan,1,-
