Lab,Num,INF wc
RNAComposer,1,0.873
Chen,9,0.900
Szachniuk,3,0.874
RNAComposer,5,0.874
RNAComposer,3,-
Szachniuk,1,0.926
Szachniuk,5,0.926
Chen,10,0.900
DasPOSTDEADLINE,8,0.874
DasPOSTDEADLINE,2,0.874
Chen,4,0.900
Szachniuk,2,0.847
Chen,5,0.900
DasPOSTDEADLINE,3,0.927
DasPOSTDEADLINE,4,0.926
Szachniuk,4,0.900
DasPOSTDEADLINE,5,0.874
Chen,8,0.874
Chen,3,0.847
RNAComposer,4,0.873
DasPOSTDEADLINE,9,0.900
DasPOSTDEADLINE,7,0.874
DasPOSTDEADLINE,6,0.900
Chen,2,0.900
DasPOSTDEADLINE,10,0.926
SimRNA,3,0.873
RNAComposer,2,0.873
Chen,7,0.900
Chen,1,0.874
SimRNA,5,0.847
SimRNA,2,0.926
SimRNA,4,0.764
Chen,6,0.900
SimRNA,1,0.847
DasPOSTDEADLINE,1,0.951
Dokholyan,1,0.563
