Lab,Num,DI all
RNAComposer,1,5.564
Chen,9,5.740
Szachniuk,3,6.480
RNAComposer,5,6.703
RNAComposer,3,4.829
Szachniuk,1,6.082
Szachniuk,5,6.082
Chen,10,6.613
DasPOSTDEADLINE,8,7.460
DasPOSTDEADLINE,2,7.022
Chen,4,7.657
Szachniuk,2,8.085
Chen,5,8.337
DasPOSTDEADLINE,3,8.740
DasPOSTDEADLINE,4,8.980
Szachniuk,4,8.749
DasPOSTDEADLINE,5,9.840
Chen,8,9.838
Chen,3,9.961
RNAComposer,4,9.617
DasPOSTDEADLINE,9,10.086
DasPOSTDEADLINE,7,10.062
DasPOSTDEADLINE,6,11.472
Chen,2,12.340
DasPOSTDEADLINE,10,11.672
SimRNA,3,12.260
RNAComposer,2,14.247
Chen,7,14.209
Chen,1,16.383
SimRNA,5,16.021
SimRNA,2,16.328
SimRNA,4,17.682
Chen,6,16.286
SimRNA,1,17.835
DasPOSTDEADLINE,1,17.622
Dokholyan,1,25.253
