ModelGroup,BestModel,BestSolution,lDDT
Adamiak_1,PZ26tRNA_Adamiak_1_refined.pdb,PZ26tRNA_Adamiak_1_solution.pdb,0.588
Adamiak_2,PZ26tRNA_Adamiak_2_refined.pdb,PZ26tRNA_Adamiak_2_solution.pdb,0.584
Adamiak_3,PZ26tRNA_Adamiak_3_refined.pdb,PZ26tRNA_Adamiak_3_solution.pdb,0.630
Adamiak_4,PZ26tRNA_Adamiak_4_refined.pdb,PZ26tRNA_Adamiak_4_solution.pdb,0.588
Bujnicki_1,PZ26tRNA_Bujnicki_1_refined.pdb,PZ26tRNA_Bujnicki_1_solution.pdb,0.697
Bujnicki_2,PZ26tRNA_Bujnicki_2_refined.pdb,PZ26tRNA_Bujnicki_2_solution.pdb,0.698
Bujnicki_3,PZ26tRNA_Bujnicki_3_refined.pdb,PZ26tRNA_Bujnicki_3_solution.pdb,0.679
Bujnicki_4,PZ26tRNA_Bujnicki_4_refined.pdb,PZ26tRNA_Bujnicki_4_solution.pdb,0.695
Bujnicki_5,PZ26tRNA_Bujnicki_5_refined.pdb,PZ26tRNA_Bujnicki_5_solution.pdb,0.661
Chen_1,PZ26tRNA_Chen_1_refined.pdb,PZ26tRNA_Chen_1_solution.pdb,0.616
Chen_10,PZ26tRNA_Chen_10_refined.pdb,PZ26tRNA_Chen_10_solution.pdb,0.606
Chen_2,PZ26tRNA_Chen_2_refined.pdb,PZ26tRNA_Chen_2_solution.pdb,0.623
Chen_3,PZ26tRNA_Chen_3_refined.pdb,PZ26tRNA_Chen_3_solution.pdb,0.611
Chen_4,PZ26tRNA_Chen_4_refined.pdb,PZ26tRNA_Chen_4_solution.pdb,0.610
Chen_5,PZ26tRNA_Chen_5_refined.pdb,PZ26tRNA_Chen_5_solution.pdb,0.615
Chen_6,PZ26tRNA_Chen_6_refined.pdb,PZ26tRNA_Chen_6_solution.pdb,0.594
Chen_7,PZ26tRNA_Chen_7_refined.pdb,PZ26tRNA_Chen_7_solution.pdb,0.585
Chen_8,PZ26tRNA_Chen_8_refined.pdb,PZ26tRNA_Chen_8_solution.pdb,0.599
Chen_9,PZ26tRNA_Chen_9_refined.pdb,PZ26tRNA_Chen_9_solution.pdb,0.602
Das_1,PZ26tRNA_Das_1_refined.pdb,PZ26tRNA_Das_1_solution.pdb,0.699
Das_10,PZ26tRNA_Das_10_refined.pdb,PZ26tRNA_Das_10_solution.pdb,0.689
Das_2,PZ26tRNA_Das_2_refined.pdb,PZ26tRNA_Das_2_solution.pdb,0.700
Das_3,PZ26tRNA_Das_3_refined.pdb,PZ26tRNA_Das_3_solution.pdb,0.690
Das_4,PZ26tRNA_Das_4_refined.pdb,PZ26tRNA_Das_4_solution.pdb,0.698
Das_5,PZ26tRNA_Das_5_refined.pdb,PZ26tRNA_Das_5_solution.pdb,0.688
Das_6,PZ26tRNA_Das_6_refined.pdb,PZ26tRNA_Das_6_solution.pdb,0.684
Das_7,PZ26tRNA_Das_7_refined.pdb,PZ26tRNA_Das_7_solution.pdb,0.704
Das_8,PZ26tRNA_Das_8_refined.pdb,PZ26tRNA_Das_8_solution.pdb,0.695
Das_9,PZ26tRNA_Das_9_refined.pdb,PZ26tRNA_Das_9_solution.pdb,0.695
Ding_1,PZ26tRNA_Ding_1_refined.pdb,PZ26tRNA_Ding_1_solution.pdb,0.531
Ding_2,PZ26tRNA_Ding_2_refined.pdb,PZ26tRNA_Ding_2_solution.pdb,0.459
Ding_3,PZ26tRNA_Ding_3_refined.pdb,PZ26tRNA_Ding_3_solution.pdb,0.524
FARFAR2_1,PZ26tRNA_FARFAR2_1_refined.pdb,PZ26tRNA_FARFAR2_1_solution.pdb,0.700
FARFAR2_10,PZ26tRNA_FARFAR2_10_refined.pdb,PZ26tRNA_FARFAR2_10_solution.pdb,0.690
FARFAR2_2,PZ26tRNA_FARFAR2_2_refined.pdb,PZ26tRNA_FARFAR2_2_solution.pdb,0.698
FARFAR2_3,PZ26tRNA_FARFAR2_3_refined.pdb,PZ26tRNA_FARFAR2_3_solution.pdb,0.688
FARFAR2_4,PZ26tRNA_FARFAR2_4_refined.pdb,PZ26tRNA_FARFAR2_4_solution.pdb,0.684
FARFAR2_5,PZ26tRNA_FARFAR2_5_refined.pdb,PZ26tRNA_FARFAR2_5_solution.pdb,0.688
FARFAR2_6,PZ26tRNA_FARFAR2_6_refined.pdb,PZ26tRNA_FARFAR2_6_solution.pdb,0.704
FARFAR2_7,PZ26tRNA_FARFAR2_7_refined.pdb,PZ26tRNA_FARFAR2_7_solution.pdb,0.695
