Lab,Num,P-value
Chen,4,6.44e-15
Szachniuk,5,1.34e-14
RNAComposer,3,6.82e-13
Szachniuk,3,2.98e-12
Perez,10,1.14e-11
Xiao,3,1.72e-11
Ding,5,1.84e-11
Xiao,1,1.93e-11
Das,5,1.99e-11
Szachniuk,1,2.01e-11
Perez,4,6.83e-11
ARES,9,1.84e-10
Perez,2,2.19e-10
Perez,5,3.80e-10
Xiao,2,6.84e-10
Ding,3,9.12e-10
Ding,6,9.50e-10
ARES,8,1.25e-09
Ding,1,1.95e-09
ARES,10,2.76e-09
Das,10,2.76e-09
Dfold,2,3.86e-09
FARFAR2,9,5.17e-09
Ding,7,5.44e-09
ARES,5,1.01e-08
Ding,8,1.17e-08
Ding,4,1.93e-08
Perez,8,2.91e-08
Perez,6,4.43e-08
Xiao,5,7.96e-08
Perez,1,1.32e-07
Perez,7,3.19e-07
Szachniuk,2,4.39e-07
Das,4,6.96e-07
Ding,2,8.10e-07
Dfold,1,3.13e-06
Perez,3,3.36e-06
SimRNA,3,2.60e-05
SimRNA,5,4.54e-05
Bujnicki,4,5.90e-05
RNAComposer,4,1.07e-04
SimRNA,1,1.49e-04
Chen,2,2.62e-04
Xiao,4,2.91e-04
Chen,1,3.74e-04
Bujnicki,2,4.86e-04
Dfold,5,6.10e-04
Perez,9,6.82e-04
SimRNA,2,8.31e-04
Chen,3,2.16e-03
FARFAR2,4,2.80e-03
Szachniuk,4,2.83e-03
Nithin,5,3.00e-03
Dokholyan,1,3.67e-03
Dfold,3,4.30e-03
ARES,6,4.53e-03
Das,8,4.53e-03
Dfold,8,5.92e-03
ARES,7,9.25e-03
Das,9,9.25e-03
Dfold,10,9.35e-03
FARFAR2,2,9.73e-03
Dfold,4,3.43e-02
Boniecki,4,1.35e-01
Dfold,7,1.59e-01
Dfold,6,2.23e-01
Boniecki,3,2.49e-01
Boniecki,5,3.07e-01
Das,1,4.66e-01
FARFAR2,3,4.66e-01
Boniecki,2,5.91e-01
Bujnicki,1,5.95e-01
Boniecki,1,6.02e-01
Chen,5,6.23e-01
RNAComposer,1,6.26e-01
Dfold,9,6.66e-01
Dokholyan,3,7.64e-01
Nithin,2,7.72e-01
Das,2,8.33e-01
FARFAR2,5,8.33e-01
Das,3,8.35e-01
FARFAR2,6,8.35e-01
RNAComposer,2,9.05e-01
ARES,2,9.44e-01
Chen,10,9.54e-01
Nithin,1,9.83e-01
FARFAR2,10,9.86e-01
Chen,9,9.91e-01
Bujnicki,3,9.93e-01
ARES,4,9.95e-01
Das,7,9.95e-01
SimRNA,4,9.97e-01
FARFAR2,1,9.99e-01
ARES,3,9.99e-01
Chen,8,1.00e+00
Chen,6,1.00e+00
FARFAR2,8,1.00e+00
RNAComposer,5,1.00e+00
Nithin,3,1.00e+00
FARFAR2,7,1.00e+00
ARES,1,1.00e+00
Das,6,1.00e+00
Bujnicki,5,1.00e+00
Nithin,4,1.00e+00
Dokholyan,2,1.00e+00
Chen,7,1.00e+00
