Lab,Num,INF wc
Chen,4,0.910
Szachniuk,5,0.875
RNAComposer,3,0.904
Szachniuk,3,0.904
Perez,10,0.650
Xiao,3,0.763
Ding,5,0.904
Xiao,1,0.802
Das,5,0.910
Szachniuk,1,0.812
Perez,4,0.869
ARES,9,0.849
Perez,2,0.812
Perez,5,0.601
Xiao,2,-
Ding,3,0.904
Ding,6,0.869
ARES,8,0.904
Ding,1,0.869
ARES,10,0.825
Das,10,0.825
Dfold,2,0.860
FARFAR2,9,0.938
Ding,7,0.775
ARES,5,0.884
Ding,8,0.802
Ding,4,0.869
Perez,8,0.624
Perez,6,0.802
Xiao,5,0.667
Perez,1,0.775
Perez,7,0.910
Szachniuk,2,0.904
Das,4,0.910
Ding,2,0.832
Dfold,1,0.194
Perez,3,0.839
SimRNA,3,0.500
SimRNA,5,0.562
Bujnicki,4,0.516
RNAComposer,4,0.710
SimRNA,1,0.459
Chen,2,0.910
Xiao,4,0.869
Chen,1,0.849
Bujnicki,2,0.516
Dfold,5,0.224
Perez,9,0.812
SimRNA,2,0.485
Chen,3,0.875
FARFAR2,4,0.825
Szachniuk,4,-
Nithin,5,0.500
Dokholyan,1,0.601
Dfold,3,0.194
ARES,6,0.910
Das,8,0.910
Dfold,8,0.062
ARES,7,0.904
Das,9,0.904
Dfold,10,0.000
FARFAR2,2,0.910
Dfold,4,0.177
Boniecki,4,0.000
Dfold,7,0.000
Dfold,6,0.000
Boniecki,3,0.000
Boniecki,5,0.182
Das,1,0.236
FARFAR2,3,0.236
Boniecki,2,0.000
Bujnicki,1,0.236
Boniecki,1,0.000
Chen,5,0.250
RNAComposer,1,0.000
Dfold,9,0.217
Dokholyan,3,0.000
Nithin,2,0.000
Das,2,0.243
FARFAR2,5,0.243
Das,3,0.236
FARFAR2,6,0.236
RNAComposer,2,0.000
ARES,2,0.000
Chen,10,0.000
Nithin,1,-
FARFAR2,10,0.000
Chen,9,0.000
Bujnicki,3,0.000
ARES,4,0.000
Das,7,0.000
SimRNA,4,0.000
FARFAR2,1,0.000
ARES,3,0.000
Chen,8,0.334
Chen,6,0.000
FARFAR2,8,0.000
RNAComposer,5,0.000
Nithin,3,-
FARFAR2,7,0.000
ARES,1,0.000
Das,6,0.000
Bujnicki,5,0.000
Nithin,4,0.000
Dokholyan,2,0.000
Chen,7,0.000
