Lab,Num,P-value
TS232,1,0.00e+00
TS232,5,0.00e+00
TS232,4,0.00e+00
TS232,2,0.00e+00
TS232,3,0.00e+00
TS287,1,0.00e+00
TS287,3,0.00e+00
TS125,2,0.00e+00
TS416,2,0.00e+00
TS081,5,0.00e+00
TS081,1,0.00e+00
TS081,3,0.00e+00
TS081,2,0.00e+00
TS125,3,0.00e+00
TS416,3,0.00e+00
TS081,4,0.00e+00
TS235,3,0.00e+00
TS392,5,0.00e+00
TS185,1,0.00e+00
TS235,2,0.00e+00
TS229,1,0.00e+00
TS439,1,0.00e+00
TS185,2,0.00e+00
TS185,5,0.00e+00
TS185,4,0.00e+00
TS163,1,0.00e+00
TS235,1,0.00e+00
TS185,3,0.00e+00
TS239,3,0.00e+00
TS235,5,0.00e+00
TS434,1,0.00e+00
TS054,1,0.00e+00
TS238,2,0.00e+00
TS238,1,0.00e+00
TS125,1,0.00e+00
TS416,1,0.00e+00
TS439,4,0.00e+00
TS229,2,0.00e+00
TS229,4,0.00e+00
TS239,1,0.00e+00
TS439,2,0.00e+00
TS439,5,0.00e+00
TS239,2,0.00e+00
TS147,3,0.00e+00
TS147,4,0.00e+00
TS227,5,0.00e+00
TS238,3,0.00e+00
TS235,4,0.00e+00
TS054,4,0.00e+00
TS248,5,0.00e+00
TS287,2,0.00e+00
TS147,1,0.00e+00
TS125,5,0.00e+00
TS054,2,0.00e+00
TS054,5,0.00e+00
TS470,5,0.00e+00
TS489,5,0.00e+00
TS470,3,5.55e-17
TS489,3,5.55e-17
TS434,4,5.55e-17
TS076,3,1.11e-16
TS416,4,1.66e-16
TS128,3,2.22e-16
TS227,4,3.33e-16
TS285,5,2.33e-15
TS434,3,8.77e-15
TS439,3,8.97e-14
TS470,1,8.97e-14
TS489,1,8.97e-14
TS248,1,2.84e-12
TS248,3,3.91e-12
TS119,3,7.99e-12
TS227,3,1.14e-11
TS147,5,2.10e-11
TS470,4,5.58e-11
TS489,4,5.58e-11
TS119,5,6.19e-11
TS470,2,9.03e-11
TS489,2,9.03e-11
TS125,4,1.00e-10
TS434,5,2.36e-10
TS128,5,2.47e-10
TS287,4,7.84e-10
TS227,2,1.89e-09
TS285,2,2.04e-09
TS029,3,2.39e-09
TS119,1,3.02e-09
TS248,2,3.49e-09
TS287,5,6.57e-09
TS416,5,7.66e-09
TS285,3,2.52e-08
TS285,1,1.55e-07
TS147,2,1.59e-07
TS128,4,1.99e-07
TS035,4,4.36e-07
TS035,2,4.53e-07
TS285,4,5.19e-07
TS054,3,6.65e-07
TS177,1,8.56e-07
TS245,4,1.44e-06
TS076,1,4.41e-06
TS128,2,1.28e-05
TS076,2,1.88e-05
TS245,1,2.74e-05
TS076,4,2.94e-05
TS434,2,6.41e-05
TS245,2,1.20e-04
TS392,4,2.59e-04
TS035,1,6.91e-04
TS227,1,1.28e-03
TS229,3,2.64e-03
TS029,2,2.65e-03
TS119,2,1.23e-02
TS035,5,3.15e-02
TS245,5,5.40e-02
TS035,3,7.34e-02
TS029,1,8.05e-02
TS392,1,1.44e-01
TS119,4,1.92e-01
TS029,4,2.00e-01
TS239,5,2.15e-01
TS076,5,2.16e-01
TS248,4,2.26e-01
TS229,5,3.79e-01
TS239,4,3.79e-01
TS392,2,4.73e-01
TS110,2,6.02e-01
TS128,1,6.20e-01
TS110,1,6.53e-01
TS392,3,7.97e-01
TS245,3,9.50e-01
TS097,1,1.00e+00
TS131,1,1.00e+00
TS131,5,1.00e+00
TS131,4,1.00e+00
TS131,2,1.00e+00
TS131,3,1.00e+00
