Lab,Num,INF wc
TS232,1,1.000
TS232,5,1.000
TS232,4,1.000
TS232,2,1.000
TS232,3,1.000
TS287,1,0.881
TS287,3,0.881
TS125,2,0.991
TS416,2,0.991
TS081,5,1.000
TS081,1,1.000
TS081,3,1.000
TS081,2,1.000
TS125,3,0.942
TS416,3,0.942
TS081,4,1.000
TS235,3,0.886
TS392,5,0.923
TS185,1,0.865
TS235,2,0.907
TS229,1,0.843
TS439,1,0.843
TS185,2,0.886
TS185,5,0.838
TS185,4,0.870
TS163,1,0.333
TS235,1,0.917
TS185,3,0.830
TS239,3,0.547
TS235,5,0.932
TS434,1,0.900
TS054,1,0.991
TS238,2,0.643
TS238,1,0.615
TS125,1,0.986
TS416,1,0.986
TS439,4,0.986
TS229,2,0.677
TS229,4,0.755
TS239,1,0.755
TS439,2,0.755
TS439,5,0.755
TS239,2,0.730
TS147,3,0.909
TS147,4,0.904
TS227,5,0.905
TS238,3,0.704
TS235,4,0.962
TS054,4,0.991
TS248,5,0.907
TS287,2,0.743
TS147,1,0.914
TS125,5,0.923
TS054,2,0.909
TS054,5,0.923
TS470,5,0.815
TS489,5,0.815
TS470,3,0.832
TS489,3,0.832
TS434,4,0.905
TS076,3,0.895
TS416,4,0.917
TS128,3,0.872
TS227,4,0.900
TS285,5,0.902
TS434,3,0.918
TS439,3,0.849
TS470,1,0.849
TS489,1,0.849
TS248,1,0.904
TS248,3,0.918
TS119,3,0.932
TS227,3,0.904
TS147,5,0.890
TS470,4,0.854
TS489,4,0.854
TS119,5,0.854
TS470,2,0.848
TS489,2,0.848
TS125,4,0.866
TS434,5,0.899
TS128,5,0.861
TS287,4,0.773
TS227,2,0.923
TS285,2,0.881
TS029,3,0.038
TS119,1,0.918
TS248,2,0.913
TS287,5,0.797
TS416,5,0.912
TS285,3,0.912
TS285,1,0.897
TS147,2,0.918
TS128,4,0.878
TS035,4,0.562
TS035,2,0.573
TS285,4,0.891
TS054,3,0.809
TS177,1,0.146
TS245,4,0.412
TS076,1,0.913
TS128,2,0.883
TS076,2,0.928
TS245,1,0.355
TS076,4,0.909
TS434,2,0.909
TS245,2,0.296
TS392,4,0.416
TS035,1,0.545
TS227,1,0.909
TS229,3,0.663
TS029,2,0.103
TS119,2,0.908
TS035,5,0.322
TS245,5,0.445
TS035,3,0.504
TS029,1,0.094
TS392,1,0.451
TS119,4,0.819
TS029,4,0.141
TS239,5,0.787
TS076,5,0.923
TS248,4,0.918
TS229,5,0.798
TS239,4,0.798
TS392,2,0.410
TS110,2,0.815
TS128,1,0.863
TS110,1,0.870
TS392,3,0.421
TS245,3,0.274
TS097,1,0.381
TS131,1,-
TS131,5,0.000
TS131,4,0.000
TS131,2,-
TS131,3,0.000
