Lab,Num,INF all
TS232,1,0.889
TS232,5,0.890
TS232,4,0.886
TS232,2,0.884
TS232,3,0.889
TS287,1,0.817
TS287,3,0.846
TS125,2,0.867
TS416,2,0.867
TS081,5,0.888
TS081,1,0.916
TS081,3,0.904
TS081,2,0.913
TS125,3,0.839
TS416,3,0.839
TS081,4,0.906
TS235,3,0.822
TS392,5,0.838
TS185,1,0.788
TS235,2,0.822
TS229,1,0.797
TS439,1,0.797
TS185,2,0.800
TS185,5,0.775
TS185,4,0.794
TS163,1,0.311
TS235,1,0.836
TS185,3,0.788
TS239,3,0.612
TS235,5,0.826
TS434,1,0.830
TS054,1,0.868
TS238,2,0.672
TS238,1,0.618
TS125,1,0.838
TS416,1,0.838
TS439,4,0.838
TS229,2,0.669
TS229,4,0.712
TS239,1,0.712
TS439,2,0.712
TS439,5,0.712
TS239,2,0.655
TS147,3,0.804
TS147,4,0.830
TS227,5,0.831
TS238,3,0.664
TS235,4,0.863
TS054,4,0.852
TS248,5,0.841
TS287,2,0.763
TS147,1,0.818
TS125,5,0.814
TS054,2,0.830
TS054,5,0.809
TS470,5,0.777
TS489,5,0.777
TS470,3,0.762
TS489,3,0.762
TS434,4,0.833
TS076,3,0.812
TS416,4,0.825
TS128,3,0.819
TS227,4,0.830
TS285,5,0.806
TS434,3,0.811
TS439,3,0.790
TS470,1,0.790
TS489,1,0.790
TS248,1,0.843
TS248,3,0.835
TS119,3,0.817
TS227,3,0.810
TS147,5,0.814
TS470,4,0.778
TS489,4,0.778
TS119,5,0.759
TS470,2,0.788
TS489,2,0.788
TS125,4,0.799
TS434,5,0.802
TS128,5,0.803
TS287,4,0.788
TS227,2,0.821
TS285,2,0.797
TS029,3,0.379
TS119,1,0.825
TS248,2,0.836
TS287,5,0.790
TS416,5,0.827
TS285,3,0.819
TS285,1,0.790
TS147,2,0.820
TS128,4,0.831
TS035,4,0.613
TS035,2,0.625
TS285,4,0.788
TS054,3,0.793
TS177,1,0.398
TS245,4,0.552
TS076,1,0.818
TS128,2,0.827
TS076,2,0.817
TS245,1,0.554
TS076,4,0.822
TS434,2,0.810
TS245,2,0.555
TS392,4,0.595
TS035,1,0.606
TS227,1,0.812
TS229,3,0.709
TS029,2,0.365
TS119,2,0.828
TS035,5,0.517
TS245,5,0.562
TS035,3,0.594
TS029,1,0.368
TS392,1,0.558
TS119,4,0.755
TS029,4,0.414
TS239,5,0.776
TS076,5,0.827
TS248,4,0.839
TS229,5,0.746
TS239,4,0.746
TS392,2,0.596
TS110,2,0.797
TS128,1,0.784
TS110,1,0.816
TS392,3,0.578
TS245,3,0.533
TS097,1,0.481
TS131,1,0.518
TS131,5,0.499
TS131,4,0.492
TS131,2,0.520
TS131,3,0.514
