Lab,Num,P-value
Chen,6,0.00e+00
Szachniuk,4,0.00e+00
Chen,3,0.00e+00
Chen,2,5.55e-17
Chen,7,1.66e-16
Chen,4,1.05e-15
Szachniuk,1,2.24e-12
Chen,1,9.55e-12
Szachniuk,3,1.58e-11
Yang,2,8.60e-11
Szachniuk,2,3.20e-09
Chen,5,3.57e-09
Yang,6,3.61e-09
RNAComposer,5,5.92e-09
DasSWMapo,2,8.71e-09
Yang,1,8.77e-09
DasARESapo,2,1.84e-08
Chen,8,6.64e-08
Yang,7,7.00e-08
RNAComposer,3,1.18e-07
DasFARFAR2ARESholo,1,3.47e-07
DiMaio,1,4.04e-07
RNAComposer,2,4.11e-07
DasSWMapo,5,1.90e-06
Bujnicki,5,2.25e-06
Bujnicki,4,2.77e-06
DasARESapo,4,2.78e-06
DasFARFAR2ARESholo,2,2.78e-06
DasSWMapo,1,4.65e-06
Yang,3,5.57e-06
DasARESapo,1,8.86e-06
DasFARFAR2ARESholo,4,9.74e-06
DasFARFAR2apo,1,9.74e-06
Chen,10,9.88e-06
DasSWMapo,3,1.10e-05
Bujnicki,3,1.55e-05
DasFARFAR2ARESholo,5,2.58e-05
DasFARFAR2apo,3,3.66e-05
Bujnicki,1,5.12e-05
DasARESapo,3,7.03e-05
Szachniuk,5,7.69e-05
RNAComposer,1,8.92e-05
Bujnicki,2,9.64e-05
DasARESapo,5,1.11e-04
DasFARFAR2ARESholo,3,1.23e-04
DasFARFAR2apo,4,1.23e-04
Yang,9,1.26e-04
Chen,9,1.60e-04
SimRNA,1,2.97e-04
Yang,8,3.33e-04
DasFARFAR2apo,5,3.78e-04
RNAComposer,4,3.81e-04
Yang,4,4.86e-04
SimRNA,4,1.02e-03
DasFARFAR2apo,2,1.10e-03
Xiao,1,1.53e-03
Xiao,6,1.53e-03
DasSWMapo,4,1.72e-03
Xiao,2,2.49e-03
Dokholyan,3,4.54e-03
Dokholyan,2,3.79e-02
SimRNA,3,3.87e-02
Dokholyan,1,5.24e-02
Dfold,6,5.97e-02
Dfold,7,5.97e-02
Dfold,8,5.97e-02
Xiao,3,6.04e-02
Yang,5,1.02e-01
Dfold,11,1.28e-01
Dfold,9,1.55e-01
Dfold,3,3.51e-01
Xiao,4,3.54e-01
Dfold,2,3.77e-01
Ding,1,4.01e-01
SimRNA,2,4.04e-01
Dfold,4,7.37e-01
Yang,10,7.61e-01
Dokholyan,5,8.45e-01
Dfold,1,8.48e-01
Dokholyan,4,8.87e-01
Xiao,5,9.19e-01
SimRNA,5,9.43e-01
Dfold,5,9.78e-01
Zhou,1,9.91e-01
Dfold,10,1.00e+00
