Lab,Num,DI all
Chen,6,7.871
Szachniuk,4,9.043
Chen,3,9.967
Chen,2,9.671
Chen,7,9.895
Chen,4,10.945
Szachniuk,1,13.821
Chen,1,13.136
Szachniuk,3,13.326
Yang,2,14.349
Szachniuk,2,15.728
Chen,5,15.213
Yang,6,19.718
RNAComposer,5,17.168
DasSWMapo,2,17.932
Yang,1,19.985
DasARESapo,2,16.739
Chen,8,17.209
Yang,7,20.930
RNAComposer,3,18.279
DasFARFAR2ARESholo,1,18.160
DiMaio,1,17.709
RNAComposer,2,20.068
DasSWMapo,5,20.782
Bujnicki,5,22.430
Bujnicki,4,22.860
DasARESapo,4,18.139
DasFARFAR2ARESholo,2,18.139
DasSWMapo,1,20.602
Yang,3,17.769
DasARESapo,1,20.163
DasFARFAR2ARESholo,4,19.319
DasFARFAR2apo,1,19.319
Chen,10,20.226
DasSWMapo,3,20.606
Bujnicki,3,25.567
DasFARFAR2ARESholo,5,20.208
DasFARFAR2apo,3,21.158
Bujnicki,1,29.665
DasARESapo,3,20.589
Szachniuk,5,20.758
RNAComposer,1,22.715
Bujnicki,2,30.229
DasARESapo,5,23.547
DasFARFAR2ARESholo,3,22.654
DasFARFAR2apo,4,22.654
Yang,9,39.548
Chen,9,21.238
SimRNA,1,41.363
Yang,8,26.585
DasFARFAR2apo,5,22.034
RNAComposer,4,28.107
Yang,4,28.404
SimRNA,4,45.572
DasFARFAR2apo,2,21.987
Xiao,1,32.213
Xiao,6,32.213
DasSWMapo,4,26.469
Xiao,2,31.621
Dokholyan,3,42.352
Dokholyan,2,54.833
SimRNA,3,42.800
Dokholyan,1,50.221
Dfold,6,45.277
Dfold,7,45.277
Dfold,8,45.277
Xiao,3,43.875
Yang,5,25.665
Dfold,11,44.886
Dfold,9,48.447
Dfold,3,45.873
Xiao,4,64.490
Dfold,2,47.564
Ding,1,50.943
SimRNA,2,50.975
Dfold,4,44.088
Yang,10,64.899
Dokholyan,5,96.481
Dfold,1,61.450
Dokholyan,4,84.624
Xiao,5,57.142
SimRNA,5,48.154
Dfold,5,59.208
Zhou,1,176.131
Dfold,10,73.913
