Lab,Num,INF wc
Chen,3,0.881
Chen,4,0.881
Chen,9,0.881
Chen,6,0.881
Szachniuk,1,0.846
Szachniuk,2,0.881
YangServer,5,0.836
Chen,8,0.881
YangServer,2,0.629
Chen,10,0.881
Szachniuk,3,0.846
Chen,2,0.881
SimRNA,1,0.889
RNAComposer,1,0.836
SimRNA,4,0.889
SimRNA,3,0.763
RNAComposer,5,0.788
SimRNA,2,0.846
Chen,1,0.881
SoutheRNA,1,0.964
SimRNA,5,0.931
DasARESApo,5,0.923
DasFARFAR2Holo,1,0.923
Szachniuk,4,0.788
Xiao,5,0.629
Ding,6,0.815
DasFARFAR2Apo,3,0.859
YangServer,4,-
YangServer,3,0.392
SoutheRNA,4,0.964
DasFARFAR2NNHolo,1,0.881
DasFARFAR2NNApo,3,0.889
Bujnicki,1,0.901
DasFARFAR2NNApo,5,0.923
DasFARFAR2Apo,1,0.889
Ding,3,0.846
SoutheRNA,3,0.901
DasFARFAR2Apo,4,0.881
DasARESApo,2,0.923
DasFARFAR2NNApo,4,0.901
DasARESApo,3,0.846
Dfold,4,0.000
DasFARFAR2NNApo,2,0.889
Bujnicki,3,0.859
Ding,2,0.788
Bujnicki,2,0.788
DasARESApo,4,0.881
RNAComposer,4,0.815
DasFARFAR2Apo,2,0.889
DasFARFAR2NNApo,1,0.881
Chen,7,0.881
Ding,4,0.815
Szachniuk,5,0.881
DasFARFAR2Apo,5,0.850
Xiao,4,0.740
YangServer,1,0.679
Chen,5,0.881
DasARESApo,1,0.815
RNAComposer,3,0.789
RNAComposer,2,0.789
Ding,1,0.846
Dokholyan,1,0.669
Bujnicki,4,0.859
SoutheRNA,2,0.231
Bujnicki,5,0.874
SoutheRNA,5,0.072
Xiao,1,0.277
Xiao,3,0.277
Xiao,2,0.277
Dfold,3,0.154
Dfold,1,0.222
Dfold,2,0.000
Dfold,5,0.000
Ding,5,0.614
