Lab,Num,P-value
Chen,3,2.66e-12
Chen,4,6.18e-12
Chen,9,7.30e-12
Chen,6,1.20e-11
Szachniuk,1,1.32e-11
Szachniuk,2,1.99e-11
YangServer,5,4.64e-11
Chen,8,9.46e-11
YangServer,2,2.81e-10
Chen,10,3.90e-10
Szachniuk,3,5.75e-10
Chen,2,6.33e-10
SimRNA,1,2.94e-09
RNAComposer,1,6.63e-09
SimRNA,4,1.69e-08
SimRNA,3,2.43e-08
RNAComposer,5,4.81e-08
SimRNA,2,8.73e-08
Chen,1,1.26e-07
SoutheRNA,1,3.94e-07
SimRNA,5,4.03e-07
DasARESApo,5,5.68e-07
DasFARFAR2Holo,1,5.68e-07
Szachniuk,4,8.20e-07
Xiao,5,9.71e-07
Ding,6,3.52e-06
DasFARFAR2Apo,3,3.60e-06
YangServer,4,5.15e-06
YangServer,3,7.01e-06
SoutheRNA,4,7.06e-06
DasFARFAR2NNHolo,1,7.13e-06
DasFARFAR2NNApo,3,7.93e-06
Bujnicki,1,1.61e-05
DasFARFAR2NNApo,5,1.75e-05
DasFARFAR2Apo,1,1.88e-05
Ding,3,2.21e-05
SoutheRNA,3,2.39e-05
DasFARFAR2Apo,4,2.61e-05
DasARESApo,2,2.74e-05
DasFARFAR2NNApo,4,3.46e-05
DasARESApo,3,3.81e-05
Dfold,4,4.97e-05
DasFARFAR2NNApo,2,5.25e-05
Bujnicki,3,8.57e-05
Ding,2,8.97e-05
Bujnicki,2,1.13e-04
DasARESApo,4,1.18e-04
RNAComposer,4,1.50e-04
DasFARFAR2Apo,2,1.51e-04
DasFARFAR2NNApo,1,1.74e-04
Chen,7,1.80e-04
Ding,4,2.33e-04
Szachniuk,5,3.39e-04
DasFARFAR2Apo,5,3.60e-04
Xiao,4,3.74e-04
YangServer,1,4.47e-04
Chen,5,4.55e-04
DasARESApo,1,4.71e-04
RNAComposer,3,5.79e-04
RNAComposer,2,1.34e-03
Ding,1,2.15e-03
Dokholyan,1,3.98e-03
Bujnicki,4,5.42e-03
SoutheRNA,2,1.76e-02
Bujnicki,5,2.20e-02
SoutheRNA,5,9.01e-02
Xiao,1,1.00e-01
Xiao,3,1.24e-01
Xiao,2,3.60e-01
Dfold,3,3.76e-01
Dfold,1,4.75e-01
Dfold,2,6.92e-01
Dfold,5,6.92e-01
Ding,5,9.30e-01
