Lab,Num,INF nwc
Chen,3,0.000
Chen,4,0.000
Chen,9,0.000
Chen,6,0.000
Szachniuk,1,0.000
Szachniuk,2,0.000
YangServer,5,-
Chen,8,0.000
YangServer,2,-
Chen,10,0.000
Szachniuk,3,0.000
Chen,2,0.000
SimRNA,1,-
RNAComposer,1,-
SimRNA,4,-
SimRNA,3,-
RNAComposer,5,0.000
SimRNA,2,0.000
Chen,1,0.000
SoutheRNA,1,0.000
SimRNA,5,-
DasARESApo,5,0.000
DasFARFAR2Holo,1,0.000
Szachniuk,4,-
Xiao,5,0.000
Ding,6,-
DasFARFAR2Apo,3,-
YangServer,4,0.000
YangServer,3,-
SoutheRNA,4,0.000
DasFARFAR2NNHolo,1,0.000
DasFARFAR2NNApo,3,-
Bujnicki,1,0.000
DasFARFAR2NNApo,5,-
DasFARFAR2Apo,1,0.000
Ding,3,-
SoutheRNA,3,0.000
DasFARFAR2Apo,4,0.000
DasARESApo,2,-
DasFARFAR2NNApo,4,0.000
DasARESApo,3,-
Dfold,4,0.000
DasFARFAR2NNApo,2,0.000
Bujnicki,3,0.000
Ding,2,-
Bujnicki,2,-
DasARESApo,4,-
RNAComposer,4,-
DasFARFAR2Apo,2,0.000
DasFARFAR2NNApo,1,-
Chen,7,0.000
Ding,4,0.000
Szachniuk,5,-
DasFARFAR2Apo,5,-
Xiao,4,-
YangServer,1,0.000
Chen,5,0.000
DasARESApo,1,0.000
RNAComposer,3,-
RNAComposer,2,-
Ding,1,-
Dokholyan,1,-
Bujnicki,4,0.000
SoutheRNA,2,-
Bujnicki,5,0.000
SoutheRNA,5,0.000
Xiao,1,-
Xiao,3,-
Xiao,2,-
Dfold,3,-
Dfold,1,-
Dfold,2,-
Dfold,5,-
Ding,5,-
