Lab,Num,DI all
Chen,3,12.777
Chen,4,12.850
Chen,9,13.729
Chen,6,13.761
Szachniuk,1,14.387
Szachniuk,2,14.111
YangServer,5,14.550
Chen,8,14.431
YangServer,2,18.846
Chen,10,16.386
Szachniuk,3,15.447
Chen,2,14.784
SimRNA,1,15.233
RNAComposer,1,16.455
SimRNA,4,15.788
SimRNA,3,16.376
RNAComposer,5,19.706
SimRNA,2,18.733
Chen,1,17.321
SoutheRNA,1,17.325
SimRNA,5,18.358
DasARESApo,5,18.171
DasFARFAR2Holo,1,18.171
Szachniuk,4,20.587
Xiao,5,20.567
Ding,6,23.088
DasFARFAR2Apo,3,19.548
YangServer,4,48.729
YangServer,3,33.853
SoutheRNA,4,20.403
DasFARFAR2NNHolo,1,22.368
DasFARFAR2NNApo,3,20.291
Bujnicki,1,18.917
DasFARFAR2NNApo,5,20.545
DasFARFAR2Apo,1,19.863
Ding,3,22.480
SoutheRNA,3,19.526
DasFARFAR2Apo,4,22.399
DasARESApo,2,19.941
DasFARFAR2NNApo,4,21.332
DasARESApo,3,20.447
Dfold,4,36.293
DasFARFAR2NNApo,2,23.832
Bujnicki,3,21.541
Ding,2,22.010
Bujnicki,2,21.832
DasARESApo,4,22.748
RNAComposer,4,26.697
DasFARFAR2Apo,2,24.113
DasFARFAR2NNApo,1,21.692
Chen,7,22.749
Ding,4,24.780
Szachniuk,5,23.941
DasFARFAR2Apo,5,23.418
Xiao,4,24.203
YangServer,1,25.888
Chen,5,26.249
DasARESApo,1,23.409
RNAComposer,3,26.705
RNAComposer,2,25.492
Ding,1,28.238
Dokholyan,1,28.048
Bujnicki,4,23.407
SoutheRNA,2,37.128
Bujnicki,5,28.674
SoutheRNA,5,48.338
Xiao,1,48.494
Xiao,3,44.481
Xiao,2,43.078
Dfold,3,55.139
Dfold,1,44.655
Dfold,2,59.236
Dfold,5,59.236
Ding,5,44.908
