residue,14_ChenPostExp_3_refined
"""A1""",25.059
"""A2""",50.754
"""A3""",67.423
"""A4""",74.506
"""A5""",71.067
"""A6""",77.739
"""A7""",83.591
"""A8""",83.591
"""A9""",77.739
"""A10""",77.739
"""A11""",86.212
"""A12""",90.836
"""A13""",97.387
"""A14""",96.104
"""A15""",92.822
"""A16""",90.836
"""A17""",86.212
"""A18""",77.739
"""A19""",71.067
"""A20""",67.423
"""A21""",36.008
"""A22""",25.059
"""A23""",25.059
"""A24""",30.649
"""A25""",63.57
"""A26""",80.767
"""A27""",77.739
"""A28""",83.591
"""A29""",88.63
"""A30""",92.822
"""A31""",97.387
"""A33""",99.734
"""A34""",99.734
"""A35""",99.734
"""A36""",99.734
"""A37""",99.734
"""A38""",99.207
"""A39""",97.387
"""A40""",92.822
"""A41""",83.591
"""A42""",74.506
"""A43""",88.63
"""A44""",92.822
"""A45""",98.423
"""A46""",98.423
"""A47""",98.423
"""A48""",97.387
"""A49""",94.58
"""A50""",90.836
"""A51""",86.212
"""A52""",74.506
"""A53""",59.509
"""A54""",30.649
"""A55""",55.238
"""A56""",67.423
"""A57""",71.067
"""A58""",71.067
"""A59""",59.509
"""A60""",46.057
"""A61""",19.228
