ModelGroup,BestModel,BestSolution,lDDT
Adamiak_1,PZ11NMR_Adamiak_1.pdb,PZ11NMR_solution_0.pdb,0.565
Adamiak_10,PZ11NMR_Adamiak_10.pdb,PZ11NMR_solution_0.pdb,0.551
Adamiak_2,PZ11NMR_Adamiak_2.pdb,PZ11NMR_solution_0.pdb,0.527
Adamiak_3,PZ11NMR_Adamiak_3.pdb,PZ11NMR_solution_0.pdb,0.576
Adamiak_4,PZ11NMR_Adamiak_4.pdb,PZ11NMR_solution_0.pdb,0.564
Adamiak_5,PZ11NMR_Adamiak_5.pdb,PZ11NMR_solution_0.pdb,0.585
Adamiak_6,PZ11NMR_Adamiak_6.pdb,PZ11NMR_solution_0.pdb,0.563
Adamiak_7,PZ11NMR_Adamiak_7.pdb,PZ11NMR_solution_0.pdb,0.576
Adamiak_8,PZ11NMR_Adamiak_8.pdb,PZ11NMR_solution_0.pdb,0.553
Adamiak_9,PZ11NMR_Adamiak_9.pdb,PZ11NMR_solution_0.pdb,0.547
Bujnicki_1,PZ11NMR_Bujnicki_1_refined.pdb,PZ11NMR_Bujnicki_1_solution.pdb,0.655
Bujnicki_10,PZ11NMR_Bujnicki_10_refined.pdb,PZ11NMR_Bujnicki_10_solution.pdb,0.572
Bujnicki_2,PZ11NMR_Bujnicki_2_refined.pdb,PZ11NMR_Bujnicki_2_solution.pdb,0.543
Bujnicki_3,PZ11NMR_Bujnicki_3_refined.pdb,PZ11NMR_Bujnicki_3_solution.pdb,0.614
Bujnicki_4,PZ11NMR_Bujnicki_4_refined.pdb,PZ11NMR_Bujnicki_4_solution.pdb,0.574
Bujnicki_5,PZ11NMR_Bujnicki_5_refined.pdb,PZ11NMR_Bujnicki_5_solution.pdb,0.571
Bujnicki_6,PZ11NMR_Bujnicki_6_refined.pdb,PZ11NMR_Bujnicki_6_solution.pdb,0.578
Bujnicki_7,PZ11NMR_Bujnicki_7_refined.pdb,PZ11NMR_Bujnicki_7_solution.pdb,0.570
Bujnicki_8,PZ11NMR_Bujnicki_8_refined.pdb,PZ11NMR_Bujnicki_8_solution.pdb,0.591
Bujnicki_9,PZ11NMR_Bujnicki_9_refined.pdb,PZ11NMR_Bujnicki_9_solution.pdb,0.636
Chen_1,PZ11NMR_Chen_1_refined.pdb,PZ11NMR_Chen_1_solution.pdb,0.609
Chen_10,PZ11NMR_Chen_10_refined.pdb,PZ11NMR_Chen_10_solution.pdb,0.642
Chen_2,PZ11NMR_Chen_2_refined.pdb,PZ11NMR_Chen_2_solution.pdb,0.597
Chen_3,PZ11NMR_Chen_3_refined.pdb,PZ11NMR_Chen_3_solution.pdb,0.617
Chen_4,PZ11NMR_Chen_4_refined.pdb,PZ11NMR_Chen_4_solution.pdb,0.593
Chen_5,PZ11NMR_Chen_5_refined.pdb,PZ11NMR_Chen_5_solution.pdb,0.613
Chen_6,PZ11NMR_Chen_6_refined.pdb,PZ11NMR_Chen_6_solution.pdb,0.647
Chen_7,PZ11NMR_Chen_7_refined.pdb,PZ11NMR_Chen_7_solution.pdb,0.655
Chen_8,PZ11NMR_Chen_8_refined.pdb,PZ11NMR_Chen_8_solution.pdb,0.631
Chen_9,PZ11NMR_Chen_9_refined.pdb,PZ11NMR_Chen_9_solution.pdb,0.642
Das_1,PZ11NMR_Das_1_refined.pdb,PZ11NMR_Das_1_solution.pdb,0.666
Das_10,PZ11NMR_Das_10_refined.pdb,PZ11NMR_Das_10_solution.pdb,0.616
Das_2,PZ11NMR_Das_2_refined.pdb,PZ11NMR_Das_2_solution.pdb,0.676
Das_3,PZ11NMR_Das_3_refined.pdb,PZ11NMR_Das_3_solution.pdb,0.658
Das_4,PZ11NMR_Das_4_refined.pdb,PZ11NMR_Das_4_solution.pdb,0.649
Das_5,PZ11NMR_Das_5_refined.pdb,PZ11NMR_Das_5_solution.pdb,0.610
Das_6,PZ11NMR_Das_6_refined.pdb,PZ11NMR_Das_6_solution.pdb,0.630
Das_7,PZ11NMR_Das_7_refined.pdb,PZ11NMR_Das_7_solution.pdb,0.666
Das_8,PZ11NMR_Das_8_refined.pdb,PZ11NMR_Das_8_solution.pdb,0.651
Das_9,PZ11NMR_Das_9_refined.pdb,PZ11NMR_Das_9_solution.pdb,0.604
Ding_1,PZ11NMR_Ding_1_refined.pdb,PZ11NMR_Ding_1_solution.pdb,0.624
Ding_10,PZ11NMR_Ding_10_refined.pdb,PZ11NMR_Ding_10_solution.pdb,0.591
Ding_2,PZ11NMR_Ding_2_refined.pdb,PZ11NMR_Ding_2_solution.pdb,0.617
Ding_3,PZ11NMR_Ding_3_refined.pdb,PZ11NMR_Ding_3_solution.pdb,0.621
Ding_4,PZ11NMR_Ding_4_refined.pdb,PZ11NMR_Ding_4_solution.pdb,0.598
Ding_5,PZ11NMR_Ding_5_refined.pdb,PZ11NMR_Ding_5_solution.pdb,0.573
Ding_6,PZ11NMR_Ding_6_refined.pdb,PZ11NMR_Ding_6_solution.pdb,0.604
Ding_7,PZ11NMR_Ding_7_refined.pdb,PZ11NMR_Ding_7_solution.pdb,0.638
Ding_8,PZ11NMR_Ding_8_refined.pdb,PZ11NMR_Ding_8_solution.pdb,0.606
Ding_9,PZ11NMR_Ding_9_refined.pdb,PZ11NMR_Ding_9_solution.pdb,0.600
Xiao_1,PZ11NMR_Xiao_1.pdb,PZ11NMR_solution_0.pdb,0.572
Xiao_2,PZ11NMR_Xiao_2.pdb,PZ11NMR_solution_0.pdb,0.567
Xiao_3,PZ11NMR_Xiao_3.pdb,PZ11NMR_solution_0.pdb,0.582
