Lab,Num,DI all
GeneSilico4,1,3.678
Chen,1,4.351
SimRNA,3,5.712
Chen,2,5.762
GeneSilico3,1,6.106
DasSWM,5,6.087
Szachniuk,1,6.118
SoutheRNA,5,6.818
GeneSilico1,2,6.620
GeneSilico2,4,6.689
Ding,4,7.812
GeneSilico2,2,7.411
Dokholyan,2,8.206
RNAComposer,4,7.857
DasSWM,2,7.875
SoutheRNA,10,8.623
Ding,1,8.856
DasSWM,3,8.256
SimRNA,2,9.110
Chen,3,8.497
DasSWM,4,8.828
GeneSilico2,5,8.844
Perez,3,9.444
DasSWM,1,8.834
GeneSilico2,3,9.060
GeneSilico2,1,9.797
Perez,10,11.700
Perez,8,12.773
Perez,5,13.028
Xiong,4,11.182
Chen,4,11.747
Szachniuk,2,12.230
Szachniuk,3,12.907
Xiong,5,12.950
GeneSilico1,4,13.092
Perez,9,16.413
Ding,8,14.423
Ding,2,14.885
Szachniuk,4,14.723
Ding,7,17.488
Chen,8,16.507
SimRNA,5,18.069
Xiao,5,19.368
Xiao,4,18.897
Xiong,1,17.762
Xiao,2,19.405
SoutheRNA,7,18.885
Perez,4,20.241
Chen,10,19.052
Xiao,3,20.574
YangServer,5,30.608
Ding,6,20.440
Xiong,2,18.933
Perez,1,21.159
GeneSilico1,5,19.484
YangServer,3,27.851
RNAComposer,5,20.925
RNAComposer,2,21.608
Dfold,1,27.863
Dfold,4,33.080
YangServer,1,28.797
RNAComposer,3,21.175
Dfold,3,31.898
Dfold,2,37.382
SoutheRNA,4,23.352
DasEMinfo,1,23.471
SoutheRNA,3,23.807
Dokholyan,3,25.535
Chen,7,22.523
DasEMinfo,3,22.348
Dokholyan,1,23.703
Xiong,3,21.975
DasEMinfo,2,24.334
SoutheRNA,8,24.831
GeneSilico1,3,23.251
DasEMinfo,4,24.336
SimRNA,1,24.198
GeneSilico1,1,22.981
SoutheRNA,9,24.187
RNAComposer,1,23.219
Chen,5,24.415
SoutheRNA,1,24.608
YangServer,4,32.129
Ding,3,24.117
SoutheRNA,6,25.416
Szachniuk,5,24.228
SoutheRNA,2,26.987
Chen,9,24.712
Zhou,5,118.544
Perez,6,27.637
Perez,7,26.012
Zhou,2,121.899
Zhou,1,143.765
Perez,2,27.748
SimRNA,4,26.464
Zhou,4,109.298
YangServer,2,27.028
Chen,6,26.029
Dokholyan,5,42.981
Zhou,3,149.432
Dfold,5,40.270
DasEMinfo,5,27.373
Dokholyan,4,42.650
Ding,5,28.395
Xiao,1,30.468
