Lab,Num,INF nwc
GeneSilico4,1,-
Chen,1,-
SimRNA,3,-
Chen,2,-
GeneSilico3,1,-
DasSWM,5,-
Szachniuk,1,-
SoutheRNA,5,-
GeneSilico1,2,-
GeneSilico2,4,-
Ding,4,-
GeneSilico2,2,-
Dokholyan,2,-
RNAComposer,4,-
DasSWM,2,-
SoutheRNA,10,-
Ding,1,-
DasSWM,3,-
SimRNA,2,-
Chen,3,-
DasSWM,4,-
GeneSilico2,5,-
Perez,3,-
DasSWM,1,-
GeneSilico2,3,-
GeneSilico2,1,-
Perez,10,-
Perez,8,-
Perez,5,-
Xiong,4,-
Chen,4,-
Szachniuk,2,-
Szachniuk,3,-
Xiong,5,-
GeneSilico1,4,-
Perez,9,-
Ding,8,-
Ding,2,-
Szachniuk,4,-
Ding,7,-
Chen,8,-
SimRNA,5,-
Xiao,5,-
Xiao,4,-
Xiong,1,-
Xiao,2,-
SoutheRNA,7,-
Perez,4,-
Chen,10,-
Xiao,3,-
YangServer,5,-
Ding,6,-
Xiong,2,-
Perez,1,-
GeneSilico1,5,-
YangServer,3,-
RNAComposer,5,-
RNAComposer,2,-
Dfold,1,-
Dfold,4,-
YangServer,1,-
RNAComposer,3,-
Dfold,3,-
Dfold,2,-
SoutheRNA,4,-
DasEMinfo,1,-
SoutheRNA,3,-
Dokholyan,3,-
Chen,7,-
DasEMinfo,3,-
Dokholyan,1,-
Xiong,3,-
DasEMinfo,2,-
SoutheRNA,8,-
GeneSilico1,3,-
DasEMinfo,4,-
SimRNA,1,-
GeneSilico1,1,-
SoutheRNA,9,-
RNAComposer,1,-
Chen,5,-
SoutheRNA,1,-
YangServer,4,-
Ding,3,-
SoutheRNA,6,-
Szachniuk,5,-
SoutheRNA,2,-
Chen,9,-
Zhou,5,-
Perez,6,-
Perez,7,-
Zhou,2,-
Zhou,1,-
Perez,2,-
SimRNA,4,-
Zhou,4,-
YangServer,2,-
Chen,6,-
Dokholyan,5,-
Zhou,3,-
Dfold,5,-
DasEMinfo,5,-
Dokholyan,4,-
Ding,5,-
Xiao,1,-
