Lab,Num,P-value
GeneSilico4,1,0.00e+00
Chen,1,0.00e+00
SimRNA,3,0.00e+00
Chen,2,0.00e+00
GeneSilico3,1,0.00e+00
DasSWM,5,0.00e+00
Szachniuk,1,0.00e+00
SoutheRNA,5,0.00e+00
GeneSilico1,2,0.00e+00
GeneSilico2,4,0.00e+00
Ding,4,0.00e+00
GeneSilico2,2,0.00e+00
Dokholyan,2,0.00e+00
RNAComposer,4,0.00e+00
DasSWM,2,0.00e+00
SoutheRNA,10,0.00e+00
Ding,1,0.00e+00
DasSWM,3,0.00e+00
SimRNA,2,0.00e+00
Chen,3,0.00e+00
DasSWM,4,0.00e+00
GeneSilico2,5,0.00e+00
Perez,3,0.00e+00
DasSWM,1,0.00e+00
GeneSilico2,3,0.00e+00
GeneSilico2,1,0.00e+00
Perez,10,0.00e+00
Perez,8,0.00e+00
Perez,5,0.00e+00
Xiong,4,0.00e+00
Chen,4,0.00e+00
Szachniuk,2,0.00e+00
Szachniuk,3,0.00e+00
Xiong,5,0.00e+00
GeneSilico1,4,0.00e+00
Perez,9,0.00e+00
Ding,8,0.00e+00
Ding,2,0.00e+00
Szachniuk,4,2.22e-16
Ding,7,3.72e-15
Chen,8,1.19e-13
SimRNA,5,2.73e-12
Xiao,5,3.22e-12
Xiao,4,7.63e-12
Xiong,1,1.43e-11
Xiao,2,3.00e-11
SoutheRNA,7,4.94e-11
Perez,4,1.47e-10
Chen,10,2.19e-10
Xiao,3,2.94e-10
YangServer,5,4.39e-10
Ding,6,2.33e-09
Xiong,2,2.58e-09
Perez,1,2.79e-09
GeneSilico1,5,3.42e-09
YangServer,3,1.05e-08
RNAComposer,5,1.54e-08
RNAComposer,2,2.34e-08
Dfold,1,5.81e-08
Dfold,4,9.60e-08
YangServer,1,4.41e-07
RNAComposer,3,6.77e-07
Dfold,3,9.44e-07
Dfold,2,1.55e-06
SoutheRNA,4,1.68e-06
DasEMinfo,1,2.10e-06
SoutheRNA,3,2.28e-06
Dokholyan,3,4.54e-06
Chen,7,7.09e-06
DasEMinfo,3,9.39e-06
Dokholyan,1,1.11e-05
Xiong,3,1.36e-05
DasEMinfo,2,1.62e-05
SoutheRNA,8,2.53e-05
GeneSilico1,3,2.73e-05
DasEMinfo,4,2.94e-05
SimRNA,1,3.03e-05
GeneSilico1,1,3.33e-05
SoutheRNA,9,3.47e-05
RNAComposer,1,4.33e-05
Chen,5,4.58e-05
SoutheRNA,1,4.63e-05
YangServer,4,5.32e-05
Ding,3,6.81e-05
SoutheRNA,6,1.92e-04
Szachniuk,5,2.89e-04
SoutheRNA,2,3.07e-04
Chen,9,4.16e-04
Zhou,5,5.71e-04
Perez,6,6.29e-04
Perez,7,7.37e-04
Zhou,2,7.77e-04
Zhou,1,9.01e-04
Perez,2,1.10e-03
SimRNA,4,1.51e-03
Zhou,4,1.52e-03
YangServer,2,1.61e-03
Chen,6,3.68e-03
Dokholyan,5,4.06e-03
Zhou,3,4.06e-03
Dfold,5,5.52e-03
DasEMinfo,5,5.53e-03
Dokholyan,4,7.24e-03
Ding,5,8.32e-03
Xiao,1,2.03e-02
