Lab,Num,INF nwc
DasTFN,10,-
DasTFN,6,-
FARFAR2,9,-
DasTFN,9,-
FARFAR2,6,-
Bujnicki,2,-
Adamiak,5,-
FARFAR2,10,-
RNAComposer,2,-
Adamiak,1,-
iFoldRNA,2,-
DasTFN,8,-
Bujnicki,3,-
DasTFN,1,-
Adamiak,2,-
Vfold3D,5,-
FARFAR2,7,-
Vfold3D,2,-
RNAComposer,4,-
FARFAR2,8,-
RNAComposer,3,-
RNAComposer,1,-
DasTFN,2,-
FARFAR2,4,-
Das,7,-
VfoldLA,5,-
SimRNA,3,-
Das,9,-
Vfold3D,4,-
VfoldLA,4,-
VfoldLA,3,-
Adamiak,3,-
Das,5,-
Bujnicki,5,-
Das,6,-
Vfold3D,1,-
Das,8,-
VfoldLA,1,-
Das,4,-
Bujnicki,1,-
Adamiak,4,-
VfoldLA,2,-
SimRNA,5,-
3dRNA,1,-
Vfold3D,3,-
3dRNA,4,-
Das,1,-
Das,10,-
Das,3,-
DasTFN,3,-
FARFAR2,1,-
DasTFN,7,-
FARFAR2,2,-
RNAComposer,5,-
Das,2,-
3dRNA,3,-
Bujnicki,4,-
FARFAR2,5,-
3dRNA,5,-
FARFAR2,3,-
Ding,6,-
Ding,5,-
iFoldRNA,1,-
DasTFN,5,-
Ding,10,-
3dRNA,2,-
Ding,1,-
iFoldRNA,3,-
Ding,3,-
Ding,2,-
Ding,9,-
SimRNA,1,-
DasTFN,4,-
iFoldRNA,5,-
Ding,8,-
SimRNA,2,-
Kollmann,2,-
Ding,7,-
SimRNA,4,-
iFoldRNA,4,-
Ding,4,-
Kollmann,7,-
Kollmann,9,-
Kollmann,10,-
Kollmann,1,-
Kollmann,6,-
Kollmann,4,-
Kollmann,8,-
Kollmann,5,-
Kollmann,3,-
