Lab,Num,INF wc
DasTFN,10,0.911
DasTFN,6,0.891
FARFAR2,9,0.911
DasTFN,9,0.913
FARFAR2,6,0.913
Bujnicki,2,0.913
Adamiak,5,0.911
FARFAR2,10,0.923
RNAComposer,2,0.922
Adamiak,1,0.886
iFoldRNA,2,0.933
DasTFN,8,0.903
Bujnicki,3,0.889
DasTFN,1,0.934
Adamiak,2,0.910
Vfold3D,5,0.967
FARFAR2,7,0.901
Vfold3D,2,0.989
RNAComposer,4,0.956
FARFAR2,8,0.934
RNAComposer,3,0.886
RNAComposer,1,0.911
DasTFN,2,0.901
FARFAR2,4,0.889
Das,7,0.989
VfoldLA,5,0.897
SimRNA,3,0.614
Das,9,0.989
Vfold3D,4,0.921
VfoldLA,4,0.921
VfoldLA,3,0.847
Adamiak,3,0.922
Das,5,0.989
Bujnicki,5,0.899
Das,6,0.978
Vfold3D,1,0.967
Das,8,0.989
VfoldLA,1,0.872
Das,4,0.989
Bujnicki,1,0.860
Adamiak,4,0.934
VfoldLA,2,0.897
SimRNA,5,0.598
3dRNA,1,0.834
Vfold3D,3,0.978
3dRNA,4,0.921
Das,1,0.989
Das,10,0.989
Das,3,0.989
DasTFN,3,0.911
FARFAR2,1,0.911
DasTFN,7,0.901
FARFAR2,2,0.923
RNAComposer,5,0.875
Das,2,0.989
3dRNA,3,0.909
Bujnicki,4,0.935
FARFAR2,5,0.911
3dRNA,5,0.897
FARFAR2,3,0.911
Ding,6,0.590
Ding,5,0.584
iFoldRNA,1,0.944
DasTFN,5,0.911
Ding,10,0.602
3dRNA,2,0.847
Ding,1,0.584
iFoldRNA,3,0.708
Ding,3,0.584
Ding,2,0.615
Ding,9,0.602
SimRNA,1,0.523
DasTFN,4,0.899
iFoldRNA,5,0.646
Ding,8,0.602
SimRNA,2,0.199
Kollmann,2,0.491
Ding,7,0.584
SimRNA,4,0.396
iFoldRNA,4,0.568
Ding,4,0.590
Kollmann,7,0.295
Kollmann,9,0.199
Kollmann,10,0.239
Kollmann,1,0.541
Kollmann,6,0.431
Kollmann,4,0.469
Kollmann,8,0.449
Kollmann,5,0.622
Kollmann,3,0.462
