Lab,Num,P-value
Das,7,0.00e+00
Das,2,0.00e+00
Chen,5,5.55e-17
Das,1,6.11e-16
Bujnicki,3,1.04e-13
Das,3,7.79e-13
Bujnicki,1,1.17e-12
Chen,2,7.12e-12
Adamiak,1,8.16e-12
Chen,3,1.42e-11
Das,4,2.06e-09
Das,10,3.54e-08
Bujnicki,5,4.34e-08
Das,5,6.49e-08
Das,9,7.26e-08
Bujnicki,8,2.19e-07
Bujnicki,7,5.25e-07
Das,8,1.38e-06
Ding,3,3.45e-06
Bujnicki,2,6.71e-06
Ding,4,1.62e-05
Das,6,3.25e-05
Chen,8,3.45e-05
Bujnicki,4,4.69e-05
Ding,8,5.37e-05
Ding,6,7.16e-05
Chen,1,7.30e-05
Bujnicki,10,8.73e-05
Ding,5,1.15e-04
Chen,7,1.18e-04
Chen,4,1.40e-04
Bujnicki,6,1.87e-04
Chen,9,2.04e-04
Dokholyan,2,2.04e-04
Chen,6,8.14e-04
Ding,1,1.29e-03
Ding,7,1.57e-03
Ding,2,1.89e-03
Dokholyan,1,2.14e-03
Dokholyan,5,3.20e-03
Xiao,1,3.40e-03
Ding,10,3.68e-03
Bujnicki,9,5.28e-03
Ding,9,7.52e-03
Xiao,3,8.12e-03
Xiao,5,1.96e-01
Dokholyan,4,4.55e-01
Dokholyan,3,7.60e-01
Xiao,6,9.25e-01
Xiao,10,9.27e-01
Xiao,2,9.40e-01
Xiao,4,9.42e-01
Xiao,9,9.59e-01
Xiao,8,9.76e-01
Xiao,7,1.00e+00
