Lab,Num,DI all
Bujnicki,3,7.899
Chen,5,8.284
Chen,7,8.357
Chen,9,8.450
Chen,2,8.417
Chen,4,8.343
Chen,1,8.608
SimRNA,4,10.359
SimRNA,5,10.712
SimRNA,2,10.640
SimRNA,1,11.227
Szachniuk,4,13.374
SimRNA,3,14.769
Szachniuk,3,17.902
Szachniuk,1,19.666
Szachniuk,2,19.516
Bujnicki,5,21.736
Chen,8,21.386
Ding,3,26.706
Bujnicki,1,21.047
Dokholyan,1,26.089
Chen,10,23.311
Ding,1,28.907
Chen,6,22.948
Nithin,5,20.980
Ding,4,29.605
Ding,7,28.974
Ding,2,33.211
Chen,3,24.395
Ding,5,30.825
Bujnicki,2,22.861
Ding,6,33.650
Nithin,3,24.049
Nithin,1,24.052
RNAComposer,3,25.765
Nithin,2,24.528
RNAComposer,1,28.349
RNAComposer,4,25.730
Nithin,4,27.271
Dfold2,8,35.738
RNAComposer,5,28.432
Bujnicki,4,28.399
Dfold2,5,42.103
Dfold2,1,43.569
Dfold2,6,47.517
Dfold2,4,43.294
Dokholyan,2,41.271
RNAComposer,2,42.206
Dfold2,7,64.084
Dfold2,3,56.478
Dfold2,2,64.905
