Lab,Num,DI all
SimRNA,1,4.431
Bujnicki,2,4.472
RNAComposer,5,4.923
Dfold2,6,5.926
FARFAR2,9,4.872
Das,9,4.805
FARFAR2,3,4.805
Dfold2,7,6.009
Dfold2,1,6.800
Dfold2,2,6.727
FARFAR2,8,5.804
Nithin,4,6.301
Chen,8,5.924
Das,2,5.796
Xiao,3,6.004
FARFAR2,2,6.058
Dokholyan,1,6.865
ARES,5,6.104
ARES,3,6.448
Chen,5,6.210
Bujnicki,1,7.256
SimRNA,5,6.843
Bujnicki,5,6.811
Xiao,1,6.728
Xiao,2,7.488
Nithin,1,8.472
SimRNA,4,7.589
Bujnicki,4,7.376
Bujnicki,3,7.383
SimRNA,2,7.837
SimRNA,3,8.212
Dfold2,3,7.796
Nithin,5,8.345
Nithin,2,8.615
ARES,1,7.717
Das,3,7.872
FARFAR2,1,7.872
RNAComposer,2,8.139
Dfold2,4,8.998
ARES,10,8.112
Nithin,3,9.469
Chen,7,9.352
ARES,4,8.283
Das,8,8.283
Dfold2,5,8.791
Chen,4,9.123
Chen,1,9.218
ARES,9,8.626
ARES,7,8.708
ARES,8,7.895
FARFAR2,6,9.037
FARFAR2,5,9.089
Perez,2,12.084
Chen,6,9.347
Chen,3,9.038
ARES,6,9.744
FARFAR2,7,9.219
Perez,1,10.598
Chen,2,10.442
FARFAR2,4,9.838
FARFAR2,10,9.701
Das,1,10.326
Xiao,5,11.003
Szachniuk,1,9.944
ARES,2,10.551
Perez,9,16.998
Das,10,12.639
Ding,4,14.353
Perez,7,13.811
Ding,1,15.159
Chen,10,13.832
Dokholyan,2,14.354
Das,7,14.303
Xiao,4,12.829
Das,4,13.733
Chen,9,13.487
Ding,7,14.115
Das,6,14.797
Szachniuk,2,14.063
RNAComposer,3,13.580
Ding,5,14.961
Perez,5,16.676
Szachniuk,4,14.926
RNAComposer,1,14.939
Szachniuk,5,16.031
Perez,3,22.825
RNAComposer,4,15.844
Ding,6,16.286
Perez,10,20.826
Das,5,18.489
Perez,6,32.171
Perez,8,23.640
Ding,8,20.336
Dfold2,8,32.132
Szachniuk,3,18.398
Ding,2,21.018
Dfold2,10,23.850
Perez,4,26.157
Ding,3,24.999
Dfold2,9,47.250
