Lab,Num,INF nwc
SimRNA,1,0.000
Bujnicki,2,0.316
RNAComposer,5,0.316
Dfold2,6,0.000
FARFAR2,9,0.316
Das,9,0.000
FARFAR2,3,0.000
Dfold2,7,0.000
Dfold2,1,0.000
Dfold2,2,0.000
FARFAR2,8,0.224
Nithin,4,0.316
Chen,8,0.000
Das,2,0.000
Xiao,3,0.000
FARFAR2,2,0.000
Dokholyan,1,0.000
ARES,5,0.000
ARES,3,0.000
Chen,5,0.224
Bujnicki,1,0.000
SimRNA,5,-1.000
Bujnicki,5,0.447
Xiao,1,-1.000
Xiao,2,-1.000
Nithin,1,0.000
SimRNA,4,0.316
Bujnicki,4,0.000
Bujnicki,3,0.447
SimRNA,2,0.000
SimRNA,3,0.447
Dfold2,3,0.000
Nithin,5,0.200
Nithin,2,0.000
ARES,1,0.000
Das,3,0.000
FARFAR2,1,0.000
RNAComposer,2,0.000
Dfold2,4,0.000
ARES,10,0.447
Nithin,3,0.316
Chen,7,0.000
ARES,4,0.000
Das,8,0.000
Dfold2,5,0.000
Chen,4,0.000
Chen,1,0.000
ARES,9,0.000
ARES,7,0.000
ARES,8,0.000
FARFAR2,6,0.000
FARFAR2,5,0.000
Perez,2,0.000
Chen,6,0.000
Chen,3,0.000
ARES,6,0.000
FARFAR2,7,0.000
Perez,1,0.316
Chen,2,0.000
FARFAR2,4,0.447
FARFAR2,10,0.000
Das,1,0.000
Xiao,5,-1.000
Szachniuk,1,0.000
ARES,2,0.000
Perez,9,0.000
Das,10,0.000
Ding,4,-1.000
Perez,7,0.000
Ding,1,-1.000
Chen,10,0.000
Dokholyan,2,-1.000
Das,7,0.000
Xiao,4,0.258
Das,4,0.000
Chen,9,-1.000
Ding,7,0.000
Das,6,0.000
Szachniuk,2,0.447
RNAComposer,3,0.447
Ding,5,0.447
Perez,5,-1.000
Szachniuk,4,0.316
RNAComposer,1,0.316
Szachniuk,5,0.000
Perez,3,0.000
RNAComposer,4,0.000
Ding,6,-1.000
Perez,10,0.000
Das,5,0.000
Perez,6,0.000
Perez,8,0.000
Ding,8,-1.000
Dfold2,8,0.000
Szachniuk,3,0.447
Ding,2,-1.000
Dfold2,10,0.000
Perez,4,0.000
Ding,3,-1.000
Dfold2,9,0.000
