Lab,Num,INF wc
SimRNA,1,0.571
Bujnicki,2,0.601
RNAComposer,5,0.889
Dfold2,6,0.601
FARFAR2,9,0.897
Das,9,0.929
FARFAR2,3,0.929
Dfold2,7,0.668
Dfold2,1,0.645
Dfold2,2,0.667
FARFAR2,8,0.714
Nithin,4,0.667
Chen,8,0.815
Das,2,0.889
Xiao,3,0.759
FARFAR2,2,0.713
Dokholyan,1,0.759
ARES,5,0.735
ARES,3,0.733
Chen,5,0.929
Bujnicki,1,0.759
SimRNA,5,0.716
Bujnicki,5,0.710
Xiao,1,0.856
Xiao,2,0.788
Nithin,1,0.519
SimRNA,4,0.710
Bujnicki,4,0.710
Bujnicki,3,0.849
SimRNA,2,0.741
SimRNA,3,0.645
Dfold2,3,0.802
Nithin,5,0.701
Nithin,2,0.623
ARES,1,0.820
Das,3,0.759
FARFAR2,1,0.759
RNAComposer,2,0.897
Dfold2,4,0.714
ARES,10,0.759
Nithin,3,0.596
Chen,7,0.828
ARES,4,0.815
Das,8,0.815
Dfold2,5,0.759
Chen,4,0.966
Chen,1,0.907
ARES,9,0.897
ARES,7,0.759
ARES,8,0.929
FARFAR2,6,0.869
FARFAR2,5,0.815
Perez,2,0.741
Chen,6,0.966
Chen,3,0.929
ARES,6,0.689
FARFAR2,7,0.759
Perez,1,0.897
Chen,2,0.929
FARFAR2,4,0.690
FARFAR2,10,0.716
Das,1,0.845
Xiao,5,0.694
Szachniuk,1,0.933
ARES,2,0.733
Perez,9,0.572
Das,10,0.889
Ding,4,0.816
Perez,7,0.671
Ding,1,0.806
Chen,10,0.800
Dokholyan,2,0.623
Das,7,0.845
Xiao,4,0.621
Das,4,0.828
Chen,9,0.786
Ding,7,0.816
Das,6,0.735
Szachniuk,2,0.889
RNAComposer,3,0.759
Ding,5,0.820
Perez,5,0.856
Szachniuk,4,0.741
RNAComposer,1,0.929
Szachniuk,5,0.820
Perez,3,0.655
RNAComposer,4,0.772
Ding,6,0.856
Perez,10,0.745
Das,5,0.772
Perez,6,0.567
Perez,8,0.661
Ding,8,0.856
Dfold2,8,0.000
Szachniuk,3,0.857
Ding,2,0.788
Dfold2,10,0.483
Perez,4,0.707
Ding,3,0.856
Dfold2,9,0.000
