Lab,Num,P-value
SimRNA,1,6.66e-16
Bujnicki,2,7.22e-16
RNAComposer,5,2.00e-15
Dfold2,6,6.72e-15
FARFAR2,9,7.27e-15
Das,9,8.44e-15
FARFAR2,3,8.44e-15
Dfold2,7,1.67e-14
Dfold2,1,2.33e-14
Dfold2,2,4.60e-14
FARFAR2,8,5.88e-14
Nithin,4,6.87e-14
Chen,8,8.56e-14
Das,2,1.08e-13
Xiao,3,1.48e-13
FARFAR2,2,2.43e-13
Dokholyan,1,3.17e-13
ARES,5,3.72e-13
ARES,3,7.41e-13
Chen,5,1.85e-12
Bujnicki,1,2.09e-12
SimRNA,5,2.19e-12
Bujnicki,5,2.23e-12
Xiao,1,3.28e-12
Xiao,2,3.33e-12
Nithin,1,5.21e-12
SimRNA,4,5.38e-12
Bujnicki,4,5.57e-12
Bujnicki,3,9.00e-12
SimRNA,2,9.33e-12
SimRNA,3,1.10e-11
Dfold2,3,1.50e-11
Nithin,5,1.55e-11
Nithin,2,2.68e-11
ARES,1,3.72e-11
Das,3,4.11e-11
FARFAR2,1,4.11e-11
RNAComposer,2,6.96e-11
Dfold2,4,8.28e-11
ARES,10,9.38e-11
Nithin,3,1.34e-10
Chen,7,1.74e-10
ARES,4,1.87e-10
Das,8,1.87e-10
Dfold2,5,2.27e-10
Chen,4,2.70e-10
Chen,1,3.03e-10
ARES,9,3.42e-10
ARES,7,3.91e-10
ARES,8,4.45e-10
FARFAR2,6,7.67e-10
FARFAR2,5,1.09e-09
Perez,2,1.41e-09
Chen,6,1.42e-09
Chen,3,1.70e-09
ARES,6,1.82e-09
FARFAR2,7,2.74e-09
Perez,1,2.81e-09
Chen,2,3.07e-09
FARFAR2,4,3.60e-09
FARFAR2,10,9.30e-09
Das,1,1.08e-08
Xiao,5,2.38e-08
Szachniuk,1,2.42e-08
ARES,2,4.60e-08
Perez,9,1.15e-07
Das,10,1.31e-07
Ding,4,6.09e-07
Perez,7,6.18e-07
Ding,1,1.04e-06
Chen,10,1.27e-06
Dokholyan,2,1.39e-06
Das,7,1.89e-06
Xiao,4,2.49e-06
Das,4,3.40e-06
Chen,9,3.50e-06
Ding,7,3.99e-06
Das,6,5.68e-06
Szachniuk,2,7.06e-06
RNAComposer,3,1.34e-05
Ding,5,2.25e-05
Perez,5,1.28e-04
Szachniuk,4,2.67e-04
RNAComposer,1,4.47e-04
Szachniuk,5,4.48e-04
Perez,3,4.99e-04
RNAComposer,4,9.79e-04
Ding,6,1.33e-03
Perez,10,1.64e-03
Das,5,6.57e-03
Perez,6,8.03e-03
Perez,8,1.21e-02
Ding,8,1.40e-02
Dfold2,8,2.84e-02
Szachniuk,3,2.97e-02
Ding,2,3.41e-02
Dfold2,10,3.46e-02
Perez,4,4.71e-02
Ding,3,1.10e-01
Dfold2,9,4.63e-01
