ModelGroup,BestModel,BestSolution,lDDT
Bujnicki_1,PZ10tRNA_Bujnicki_1_refined.pdb,PZ10tRNA_Bujnicki_1_solution.pdb,0.080
Bujnicki_10,PZ10tRNA_Bujnicki_10_refined.pdb,PZ10tRNA_Bujnicki_10_solution.pdb,0.080
Bujnicki_2,PZ10tRNA_Bujnicki_2_refined.pdb,PZ10tRNA_Bujnicki_2_solution.pdb,0.080
Bujnicki_3,PZ10tRNA_Bujnicki_3_refined.pdb,PZ10tRNA_Bujnicki_3_solution.pdb,0.080
Bujnicki_4,PZ10tRNA_Bujnicki_4_refined.pdb,PZ10tRNA_Bujnicki_4_solution.pdb,0.079
Bujnicki_5,PZ10tRNA_Bujnicki_5_refined.pdb,PZ10tRNA_Bujnicki_5_solution.pdb,0.080
Bujnicki_6,PZ10tRNA_Bujnicki_6_refined.pdb,PZ10tRNA_Bujnicki_6_solution.pdb,0.079
Bujnicki_7,PZ10tRNA_Bujnicki_7_refined.pdb,PZ10tRNA_Bujnicki_7_solution.pdb,0.079
Bujnicki_8,PZ10tRNA_Bujnicki_8_refined.pdb,PZ10tRNA_Bujnicki_8_solution.pdb,0.080
Bujnicki_9,PZ10tRNA_Bujnicki_9_refined.pdb,PZ10tRNA_Bujnicki_9_solution.pdb,0.079
Chen_1,PZ10tRNA_Chen_1_refined.pdb,PZ10tRNA_Chen_1_solution.pdb,0.077
Das_1,PZ10tRNA_Das_1_refined.pdb,PZ10tRNA_Das_1_solution.pdb,0.214
Das_2,PZ10tRNA_Das_2_refined.pdb,PZ10tRNA_Das_2_solution.pdb,0.211
Das_3,PZ10tRNA_Das_3_refined.pdb,PZ10tRNA_Das_3_solution.pdb,0.213
Das_4,PZ10tRNA_Das_4_refined.pdb,PZ10tRNA_Das_4_solution.pdb,0.215
Das_5,PZ10tRNA_Das_5_refined.pdb,PZ10tRNA_Das_5_solution.pdb,0.212
Dokholyan_1,PZ10tRNA_Dokholyan_1_refined.pdb,PZ10tRNA_Dokholyan_1_solution.pdb,0.263
Dokholyan_10,PZ10tRNA_Dokholyan_10_refined.pdb,PZ10tRNA_Dokholyan_10_solution.pdb,0.214
Dokholyan_2,PZ10tRNA_Dokholyan_2_refined.pdb,PZ10tRNA_Dokholyan_2_solution.pdb,0.215
Dokholyan_3,PZ10tRNA_Dokholyan_3_refined.pdb,PZ10tRNA_Dokholyan_3_solution.pdb,0.259
Dokholyan_4,PZ10tRNA_Dokholyan_4_refined.pdb,PZ10tRNA_Dokholyan_4_solution.pdb,0.218
Dokholyan_5,PZ10tRNA_Dokholyan_5_refined.pdb,PZ10tRNA_Dokholyan_5_solution.pdb,0.215
Dokholyan_6,PZ10tRNA_Dokholyan_6_refined.pdb,PZ10tRNA_Dokholyan_6_solution.pdb,0.212
Dokholyan_7,PZ10tRNA_Dokholyan_7_refined.pdb,PZ10tRNA_Dokholyan_7_solution.pdb,0.253
Dokholyan_8,PZ10tRNA_Dokholyan_8_refined.pdb,PZ10tRNA_Dokholyan_8_solution.pdb,0.214
Dokholyan_9,PZ10tRNA_Dokholyan_9_refined.pdb,PZ10tRNA_Dokholyan_9_solution.pdb,0.211
