Lab,Num,P-value
Das,4,1.66e-16
SWMapo,2,1.66e-16
Das,2,5.00e-16
SWMapo,4,5.00e-16
ARESgua,9,8.33e-16
Chen,3,4.50e-15
FARFAR2gua,6,8.51e-14
ARESgua,5,1.94e-13
FARFAR2gua,4,1.94e-13
FARFAR2gua,10,1.95e-13
ARESapo,1,5.54e-13
SimRNA,4,5.71e-13
FARFAR2gua,2,5.95e-13
FARFAR2apo,2,6.22e-13
Das,1,7.71e-13
FARFAR2apo,7,7.71e-13
ARESapo,9,1.81e-12
FARFAR2apo,5,1.81e-12
Das,3,2.14e-12
SWMapo,1,2.14e-12
SimRNA,5,4.84e-12
Bujnicki,1,5.55e-12
FARFAR2gua,5,7.06e-12
FARFAR2apo,4,1.17e-11
FARFAR2apo,8,1.64e-11
FARFAR2gua,1,2.42e-11
FARFAR2gua,3,2.78e-11
FARFAR2apo,9,3.55e-11
FARFAR2apo,1,3.72e-11
ARESapo,5,5.22e-11
Szachniuk,3,5.29e-11
ARESgua,2,7.19e-11
ARESapo,10,1.01e-10
ARESgua,3,1.09e-10
RNAComposer,3,1.99e-10
ARESapo,6,2.73e-10
ARESgua,7,2.85e-10
FARFAR2apo,10,3.17e-10
ARESapo,8,4.67e-10
ARESapo,2,5.85e-10
SimRNA,2,6.51e-10
Chen,4,8.54e-10
Das,10,8.57e-10
FARFAR2gua,9,8.57e-10
Szachniuk,1,8.69e-10
Chen,6,1.12e-09
FARFAR2apo,6,1.18e-09
RNAComposer,5,1.66e-09
Bujnicki,5,1.81e-09
ARESgua,6,1.91e-09
Das,9,2.11e-09
FARFAR2gua,8,2.11e-09
ARESgua,1,3.44e-09
ARESgua,8,4.42e-09
Das,8,4.42e-09
RNAComposer,1,7.89e-09
ARESapo,7,7.98e-09
SimRNA,3,8.19e-09
SWMapo,3,8.28e-09
Chen,1,1.31e-08
ARESapo,4,1.35e-08
Nithin,5,2.58e-08
Nithin,3,3.22e-08
ARESgua,10,5.82e-08
Bujnicki,2,5.98e-08
RNAComposer,4,7.42e-08
Chen,2,1.20e-07
SimRNA,1,1.85e-07
Chen,5,2.29e-07
Das,6,2.32e-07
SWMapo,7,2.32e-07
ARESgua,4,2.65e-07
ARESapo,3,6.18e-07
FARFAR2apo,3,8.16e-07
Nithin,2,8.93e-07
FARFAR2gua,7,1.20e-06
SWMapo,6,2.48e-06
Nithin,1,2.50e-06
Das,7,4.42e-06
SWMapo,9,4.42e-06
SWMapo,10,6.40e-06
Das,5,1.01e-05
SWMapo,8,1.01e-05
Szachniuk,2,1.09e-05
RNAComposer,2,1.64e-05
Szachniuk,5,5.33e-05
Xiao,5,1.26e-04
Xiao,4,1.92e-04
Chen,8,3.03e-04
Chen,7,3.30e-04
Nithin,4,3.68e-04
Xiao,1,5.00e-04
Chen,10,9.91e-04
Xiao,3,1.02e-03
SWMapo,5,1.57e-03
Szachniuk,4,1.78e-03
Xiao,2,2.88e-03
Chen,9,4.41e-03
Bujnicki,3,5.96e-03
Bujnicki,4,9.42e-03
Dokholyan,1,1.17e-01
