Lab,Num,mcq
DasPostExp,2,24.52
DasPostExp,6,20.93
DasPreExp,1,20.93
DingPostExp,8,25.79
DasPostExp,3,22.02
DingPostExp,9,26.38
DingPostExp,6,23.91
DasPreExp,9,22.68
DasPostExp,5,22.57
DingPostExp,4,25.31
DingPreExp,4,25.68
ChenPostExp,2,26.75
DingPreExp,1,23.90
DasPostExp,10,23.84
DasPreExp,5,23.84
DingPostExp,10,24.73
DasPreExp,3,22.79
ChenPostExp,5,26.32
ChenPostExp,6,24.00
DasPostExp,7,22.33
DasPreExp,2,22.33
DasPostExp,4,23.10
BujnickiPreExp,3,21.84
DasPostExp,9,24.04
DasPreExp,10,24.04
DingPostExp,3,24.96
BujnickiPreExp,1,23.08
ChenPostExp,7,24.56
BujnickiPostExp,1,24.73
DasPostExp,1,25.34
DasPreExp,6,25.34
BujnickiPreExp,4,25.83
ChenPostExp,10,23.73
BujnickiPostExp,2,23.32
DasPreExp,8,22.59
BujnickiPostExp,3,24.16
DasPreExp,7,23.34
DingPostExp,1,22.65
ChenPostExp,1,25.26
DingPostExp,7,25.98
DingPostExp,5,22.83
BujnickiPreExp,2,24.43
DingPreExp,2,25.46
BujnickiPostExp,4,30.15
DingPostExp,2,24.68
ChenPostExp,8,23.63
ChenPostExp,9,23.70
ChenPostExp,4,26.60
DasPostExp,8,24.30
DasPreExp,4,24.30
DingPreExp,3,24.98
ChenPostExp,3,21.05
