Lab,Num,Clash Score
DasPostExp,2,4.890
DasPostExp,6,11.410
DasPreExp,1,11.410
DingPostExp,8,14.130
DasPostExp,3,4.350
DingPostExp,9,10.870
DingPostExp,6,11.960
DasPreExp,9,3.800
DasPostExp,5,5.980
DingPostExp,4,11.410
DingPreExp,4,16.850
ChenPostExp,2,5.430
DingPreExp,1,11.410
DasPostExp,10,5.980
DasPreExp,5,5.980
DingPostExp,10,9.240
DasPreExp,3,7.070
ChenPostExp,5,1.630
ChenPostExp,6,4.890
DasPostExp,7,3.800
DasPreExp,2,3.800
DasPostExp,4,7.070
BujnickiPreExp,3,8.150
DasPostExp,9,6.520
DasPreExp,10,6.520
DingPostExp,3,15.760
BujnickiPreExp,1,3.800
ChenPostExp,7,5.430
BujnickiPostExp,1,11.410
DasPostExp,1,10.870
DasPreExp,6,10.870
BujnickiPreExp,4,7.610
ChenPostExp,10,3.800
BujnickiPostExp,2,19.570
DasPreExp,8,3.800
BujnickiPostExp,3,11.410
DasPreExp,7,5.430
DingPostExp,1,13.590
ChenPostExp,1,5.430
DingPostExp,7,10.330
DingPostExp,5,8.150
BujnickiPreExp,2,8.150
DingPreExp,2,9.780
BujnickiPostExp,4,15.220
DingPostExp,2,12.500
ChenPostExp,8,4.350
ChenPostExp,9,5.430
ChenPostExp,4,1.090
DasPostExp,8,5.430
DasPreExp,4,5.430
DingPreExp,3,13.040
ChenPostExp,3,3.800
