Lab,Num,INF all
DasPostExp,2,0.745
DasPostExp,6,0.842
DasPreExp,1,0.842
DingPostExp,8,0.722
DasPostExp,3,0.836
DingPostExp,9,0.654
DingPostExp,6,0.673
DasPreExp,9,0.807
DasPostExp,5,0.777
DingPostExp,4,0.668
DingPreExp,4,0.728
ChenPostExp,2,0.801
DingPreExp,1,0.672
DasPostExp,10,0.784
DasPreExp,5,0.784
DingPostExp,10,0.733
DasPreExp,3,0.721
ChenPostExp,5,0.797
ChenPostExp,6,0.763
DasPostExp,7,0.807
DasPreExp,2,0.807
DasPostExp,4,0.744
BujnickiPreExp,3,0.774
DasPostExp,9,0.742
DasPreExp,10,0.742
DingPostExp,3,0.739
BujnickiPreExp,1,0.900
ChenPostExp,7,0.736
BujnickiPostExp,1,0.793
DasPostExp,1,0.763
DasPreExp,6,0.763
BujnickiPreExp,4,0.667
ChenPostExp,10,0.761
BujnickiPostExp,2,0.784
DasPreExp,8,0.790
BujnickiPostExp,3,0.656
DasPreExp,7,0.703
DingPostExp,1,0.725
ChenPostExp,1,0.673
DingPostExp,7,0.691
DingPostExp,5,0.706
BujnickiPreExp,2,0.838
DingPreExp,2,0.735
BujnickiPostExp,4,0.773
DingPostExp,2,0.721
ChenPostExp,8,0.764
ChenPostExp,9,0.783
ChenPostExp,4,0.824
DasPostExp,8,0.790
DasPreExp,4,0.790
DingPreExp,3,0.714
ChenPostExp,3,0.715
