Lab,Num,INF wc
DasPostExp,2,0.667
DasPostExp,6,0.800
DasPreExp,1,0.800
DingPostExp,8,0.933
DasPostExp,3,0.775
DingPostExp,9,0.901
DingPostExp,6,0.801
DasPreExp,9,0.828
DasPostExp,5,0.733
DingPostExp,4,0.968
DingPreExp,4,0.933
ChenPostExp,2,0.966
DingPreExp,1,0.820
DasPostExp,10,0.775
DasPreExp,5,0.775
DingPostExp,10,0.859
DasPreExp,3,0.741
ChenPostExp,5,0.933
ChenPostExp,6,0.897
DasPostExp,7,0.828
DasPreExp,2,0.828
DasPostExp,4,0.693
BujnickiPreExp,3,0.859
DasPostExp,9,0.839
DasPreExp,10,0.839
DingPostExp,3,0.897
BujnickiPreExp,1,0.968
ChenPostExp,7,0.859
BujnickiPostExp,1,0.889
DasPostExp,1,0.828
DasPreExp,6,0.828
BujnickiPreExp,4,0.866
ChenPostExp,10,0.901
BujnickiPostExp,2,0.904
DasPreExp,8,0.828
BujnickiPostExp,3,0.866
DasPreExp,7,0.716
DingPostExp,1,0.933
ChenPostExp,1,0.859
DingPostExp,7,0.968
DingPostExp,5,0.933
BujnickiPreExp,2,0.968
DingPreExp,2,0.968
BujnickiPostExp,4,0.939
DingPostExp,2,0.897
ChenPostExp,8,0.859
ChenPostExp,9,0.933
ChenPostExp,4,0.933
DasPostExp,8,0.828
DasPreExp,4,0.828
DingPreExp,3,0.933
ChenPostExp,3,0.859
