Lab,Num,RMSD
DasPostExp,2,6.513
DasPostExp,6,6.895
DasPreExp,1,6.895
DingPostExp,8,7.063
DasPostExp,3,7.065
DingPostExp,9,7.199
DingPostExp,6,7.543
DasPreExp,9,8.382
DasPostExp,5,8.658
DingPostExp,4,8.719
DingPreExp,4,8.931
ChenPostExp,2,9.356
DingPreExp,1,9.507
DasPostExp,10,9.775
DasPreExp,5,9.775
DingPostExp,10,10.069
DasPreExp,3,10.086
ChenPostExp,5,10.563
ChenPostExp,6,11.337
DasPostExp,7,11.406
DasPreExp,2,11.406
DasPostExp,4,11.467
BujnickiPreExp,3,11.601
DasPostExp,9,11.749
DasPreExp,10,11.749
DingPostExp,3,12.600
BujnickiPreExp,1,12.745
ChenPostExp,7,13.114
BujnickiPostExp,1,13.240
DasPostExp,1,13.279
DasPreExp,6,13.279
BujnickiPreExp,4,13.897
ChenPostExp,10,14.796
BujnickiPostExp,2,15.094
DasPreExp,8,15.825
BujnickiPostExp,3,15.983
DasPreExp,7,16.446
DingPostExp,1,16.461
ChenPostExp,1,16.851
DingPostExp,7,17.081
DingPostExp,5,17.190
BujnickiPreExp,2,17.217
DingPreExp,2,17.758
BujnickiPostExp,4,17.978
DingPostExp,2,18.381
ChenPostExp,8,18.560
ChenPostExp,9,18.837
ChenPostExp,4,18.944
DasPostExp,8,19.765
DasPreExp,4,19.765
DingPreExp,3,20.170
ChenPostExp,3,21.793
