Lab,Num,INF nwc
DasPostExp,2,0.866
DasPostExp,6,0.750
DasPreExp,1,0.750
DingPostExp,8,0.000
DasPostExp,3,0.866
DingPostExp,9,0.000
DingPostExp,6,0.000
DasPreExp,9,0.866
DasPostExp,5,0.750
DingPostExp,4,0.000
DingPreExp,4,0.000
ChenPostExp,2,0.000
DingPreExp,1,0.000
DasPostExp,10,0.750
DasPreExp,5,0.750
DingPostExp,10,-1.000
DasPreExp,3,0.833
ChenPostExp,5,0.408
ChenPostExp,6,0.408
DasPostExp,7,0.866
DasPreExp,2,0.866
DasPostExp,4,0.913
BujnickiPreExp,3,0.833
DasPostExp,9,0.354
DasPreExp,10,0.354
DingPostExp,3,0.000
BujnickiPreExp,1,0.707
ChenPostExp,7,0.408
BujnickiPostExp,1,0.866
DasPostExp,1,0.707
DasPreExp,6,0.707
BujnickiPreExp,4,-1.000
ChenPostExp,10,0.408
BujnickiPostExp,2,0.707
DasPreExp,8,0.866
BujnickiPostExp,3,0.000
DasPreExp,7,0.833
DingPostExp,1,0.000
ChenPostExp,1,0.289
DingPostExp,7,-1.000
DingPostExp,5,-1.000
BujnickiPreExp,2,0.500
DingPreExp,2,0.000
BujnickiPostExp,4,0.500
DingPostExp,2,0.000
ChenPostExp,8,0.612
ChenPostExp,9,0.000
ChenPostExp,4,0.707
DasPostExp,8,0.750
DasPreExp,4,0.750
DingPreExp,3,-1.000
ChenPostExp,3,0.913
