Lab,Num,P-value
DasPostExp,2,7.22e-16
DasPostExp,6,3.94e-15
DasPreExp,1,3.94e-15
DingPostExp,8,8.16e-15
DasPostExp,3,8.27e-15
DingPostExp,9,1.47e-14
DingPostExp,6,6.34e-14
DasPreExp,9,1.91e-12
DasPostExp,5,5.59e-12
DingPostExp,4,7.07e-12
DingPreExp,4,1.58e-11
ChenPostExp,2,7.63e-11
DingPreExp,1,1.32e-10
DasPostExp,10,3.42e-10
DasPreExp,5,3.42e-10
DingPostExp,10,9.49e-10
DasPreExp,3,1.01e-09
ChenPostExp,5,4.96e-09
ChenPostExp,6,5.74e-08
DasPostExp,7,7.06e-08
DasPreExp,2,7.06e-08
DasPostExp,4,8.48e-08
BujnickiPreExp,3,1.26e-07
DasPostExp,9,1.96e-07
DasPreExp,10,1.96e-07
DingPostExp,3,2.11e-06
BujnickiPreExp,1,3.09e-06
ChenPostExp,7,7.98e-06
BujnickiPostExp,1,1.09e-05
DasPostExp,1,1.20e-05
DasPreExp,6,1.20e-05
BujnickiPreExp,4,5.23e-05
ChenPostExp,10,3.62e-04
BujnickiPostExp,2,6.53e-04
DasPreExp,8,2.49e-03
BujnickiPostExp,3,3.25e-03
DasPreExp,7,6.88e-03
DingPostExp,1,7.03e-03
ChenPostExp,1,1.26e-02
DingPostExp,7,1.74e-02
DingPostExp,5,2.02e-02
BujnickiPreExp,2,2.09e-02
DingPreExp,2,4.14e-02
BujnickiPostExp,4,5.34e-02
DingPostExp,2,8.25e-02
ChenPostExp,8,9.87e-02
ChenPostExp,9,1.28e-01
ChenPostExp,4,1.41e-01
DasPostExp,8,2.68e-01
DasPreExp,4,2.68e-01
DingPreExp,3,3.46e-01
ChenPostExp,3,6.94e-01
