Lab,Num,TM-score
DasPostExp,2,0.3930
DasPostExp,6,0.4060
DasPreExp,1,0.4060
DingPostExp,8,0.2840
DasPostExp,3,0.3780
DingPostExp,9,0.2590
DingPostExp,6,0.2870
DasPreExp,9,0.3360
DasPostExp,5,0.3570
DingPostExp,4,0.2940
DingPreExp,4,0.3210
ChenPostExp,2,0.2870
DingPreExp,1,0.2830
DasPostExp,10,0.2940
DasPreExp,5,0.2940
DingPostExp,10,0.2310
DasPreExp,3,0.2820
ChenPostExp,5,0.3290
ChenPostExp,6,0.3010
DasPostExp,7,0.3220
DasPreExp,2,0.3220
DasPostExp,4,0.3350
BujnickiPreExp,3,0.3050
DasPostExp,9,0.2340
DasPreExp,10,0.2340
DingPostExp,3,0.2670
BujnickiPreExp,1,0.3090
ChenPostExp,7,0.3000
BujnickiPostExp,1,0.2600
DasPostExp,1,0.2740
DasPreExp,6,0.2740
BujnickiPreExp,4,0.1840
ChenPostExp,10,0.3270
BujnickiPostExp,2,0.2600
DasPreExp,8,0.2980
BujnickiPostExp,3,0.1940
DasPreExp,7,0.2550
DingPostExp,1,0.2570
ChenPostExp,1,0.3010
DingPostExp,7,0.2990
DingPostExp,5,0.3110
BujnickiPreExp,2,0.2970
DingPreExp,2,0.2550
BujnickiPostExp,4,0.2310
DingPostExp,2,0.2050
ChenPostExp,8,0.3210
ChenPostExp,9,0.3130
ChenPostExp,4,0.3290
DasPostExp,8,0.3180
DasPreExp,4,0.3180
DingPreExp,3,0.2790
ChenPostExp,3,0.3420
