Lab,Num,DI all
Adamiak,8,5.680
Adamiak,10,5.812
Adamiak,2,5.822
RNAComposerAS1,1,5.822
Adamiak,3,6.353
RNAComposerAS1,2,6.353
Chen,3,6.936
Chen,6,7.829
Adamiak,7,7.245
Adamiak,5,7.379
RNAComposerAS2,2,7.379
SimRNAAS1,1,8.137
Adamiak,4,7.638
RNAComposerAS2,1,7.638
Adamiak,9,7.426
Adamiak,6,7.386
Adamiak,1,9.589
Chen,1,9.847
Chen,10,11.106
Chen,4,10.916
SimRNAAS2,7,12.745
SimRNAAS2,4,12.564
RW3DAS2,5,13.346
Chen,7,13.777
RW3DAS2,1,13.068
RW3DAS2,4,14.430
RW3DAS1,5,13.797
Chen,8,16.347
SimRNAAS2,9,16.119
Chen,9,18.104
RW3DAS2,8,17.534
RW3DAS2,7,18.315
RW3DAS2,9,17.208
RW3DAS1,4,19.163
RW3DAS1,3,17.876
RW3DAS2,10,16.763
SimRNAAS2,1,17.712
RW3DAS1,9,18.343
RW3DAS1,7,19.080
RW3DAS1,6,19.453
RW3DAS1,2,20.321
Chen,2,21.245
RW3DAS1,1,20.536
RW3DAS2,3,23.140
Chen,5,21.689
RW3DAS2,2,22.524
SimRNAAS1,3,39.403
SimRNAAS1,9,23.080
RW3DAS1,10,24.460
SimRNAAS1,7,25.474
SimRNAAS2,2,23.655
RW3DAS2,6,25.903
SimRNAAS2,5,25.458
SimRNAAS2,3,26.043
SimRNAAS2,10,26.567
RW3DAS1,8,27.814
SimRNAAS1,10,27.753
SimRNAAS2,6,26.954
SimRNAAS1,2,34.122
SimRNAAS1,5,34.746
SimRNAAS1,8,29.618
SimRNAAS2,8,28.135
SimRNAAS1,6,42.317
SimRNAAS1,4,46.271
3dRNAAS2,2,33.029
3dRNAAS2,4,33.377
3dRNAAS2,7,33.388
3dRNAAS2,5,33.055
3dRNAAS2,3,33.757
3dRNAAS2,9,33.410
3dRNAAS2,6,34.045
3dRNAAS2,10,33.457
3dRNAAS2,1,33.850
3dRNAAS2,8,33.944
