Lab,Num,INF wc
Adamiak,8,0.959
Adamiak,10,0.959
Adamiak,2,0.979
RNAComposerAS1,1,0.979
Adamiak,3,0.979
RNAComposerAS1,2,0.979
Chen,3,0.979
Chen,6,0.934
Adamiak,7,0.959
Adamiak,5,0.959
RNAComposerAS2,2,0.959
SimRNAAS1,1,0.834
Adamiak,4,0.979
RNAComposerAS2,1,0.979
Adamiak,9,0.979
Adamiak,6,0.979
Adamiak,1,0.957
Chen,1,0.934
Chen,10,0.889
Chen,4,0.957
SimRNAAS2,7,0.894
SimRNAAS2,4,0.957
RW3DAS2,5,0.917
Chen,7,0.870
RW3DAS2,1,0.900
RW3DAS2,4,0.900
RW3DAS1,5,0.936
Chen,8,0.839
SimRNAAS2,9,0.936
Chen,9,0.861
RW3DAS2,8,0.900
RW3DAS2,7,0.883
RW3DAS2,9,0.917
RW3DAS1,4,0.883
RW3DAS1,3,0.917
RW3DAS2,10,0.936
SimRNAAS2,1,0.936
RW3DAS1,9,0.917
RW3DAS1,7,0.936
RW3DAS1,6,0.936
RW3DAS1,2,0.957
Chen,2,0.957
RW3DAS1,1,0.936
RW3DAS2,3,0.852
Chen,5,0.934
RW3DAS2,2,0.917
SimRNAAS1,3,0.341
SimRNAAS1,9,0.894
RW3DAS1,10,0.900
SimRNAAS1,7,0.826
SimRNAAS2,2,0.917
RW3DAS2,6,0.900
SimRNAAS2,5,0.936
SimRNAAS2,3,0.894
SimRNAAS2,10,0.936
RW3DAS1,8,0.900
SimRNAAS1,10,0.777
SimRNAAS2,6,0.936
SimRNAAS1,2,0.478
SimRNAAS1,5,0.468
SimRNAAS1,8,0.826
SimRNAAS2,8,0.913
SimRNAAS1,6,0.341
SimRNAAS1,4,0.217
3dRNAAS2,2,0.934
3dRNAAS2,4,0.934
3dRNAAS2,7,0.934
3dRNAAS2,5,0.934
3dRNAAS2,3,0.934
3dRNAAS2,9,0.934
3dRNAAS2,6,0.934
3dRNAAS2,10,0.934
3dRNAAS2,1,0.934
3dRNAAS2,8,0.934
