Lab,Num,INF nwc
Adamiak,8,0.447
Adamiak,10,0.000
Adamiak,2,0.516
RNAComposerAS1,1,0.516
Adamiak,3,0.447
RNAComposerAS1,2,0.447
Chen,3,0.671
Chen,6,0.316
Adamiak,7,-
Adamiak,5,-
RNAComposerAS2,2,-
SimRNAAS1,1,0.224
Adamiak,4,0.000
RNAComposerAS2,1,0.000
Adamiak,9,-
Adamiak,6,0.000
Adamiak,1,0.000
Chen,1,0.316
Chen,10,0.447
Chen,4,0.632
SimRNAAS2,7,0.316
SimRNAAS2,4,0.258
RW3DAS2,5,0.224
Chen,7,-
RW3DAS2,1,0.258
RW3DAS2,4,0.000
RW3DAS1,5,0.258
Chen,8,0.316
SimRNAAS2,9,0.200
Chen,9,0.447
RW3DAS2,8,0.258
RW3DAS2,7,0.000
RW3DAS2,9,0.447
RW3DAS1,4,0.000
RW3DAS1,3,0.169
RW3DAS2,10,0.200
SimRNAAS2,1,0.200
RW3DAS1,9,0.000
RW3DAS1,7,0.000
RW3DAS1,6,0.000
RW3DAS1,2,0.000
Chen,2,0.258
RW3DAS1,1,0.224
RW3DAS2,3,0.000
Chen,5,0.447
RW3DAS2,2,0.224
SimRNAAS1,3,0.000
SimRNAAS1,9,0.316
RW3DAS1,10,0.000
SimRNAAS1,7,0.224
SimRNAAS2,2,0.316
RW3DAS2,6,0.258
SimRNAAS2,5,0.224
SimRNAAS2,3,0.258
SimRNAAS2,10,0.224
RW3DAS1,8,0.224
SimRNAAS1,10,0.258
SimRNAAS2,6,0.224
SimRNAAS1,2,0.258
SimRNAAS1,5,0.316
SimRNAAS1,8,0.258
SimRNAAS2,8,0.224
SimRNAAS1,6,0.000
SimRNAAS1,4,0.258
3dRNAAS2,2,0.447
3dRNAAS2,4,0.447
3dRNAAS2,7,0.447
3dRNAAS2,5,0.447
3dRNAAS2,3,0.447
3dRNAAS2,9,0.447
3dRNAAS2,6,0.447
3dRNAAS2,10,0.447
3dRNAAS2,1,0.447
3dRNAAS2,8,0.447
